charger_id,station_id,charger_type,power_kw,connector_type,installation_date,status
51,8,AC,9.23,Type 2,2021-07-28,Active
52,9,DC Fast,83.55,CHAdeMO,2021-08-28,Active
53,9,DC Fast,92.98,CHAdeMO,2021-09-13,Active
54,9,DC Fast,83.82,CHAdeMO,2021-07-29,Active
55,9,AC,10.43,Type 2,2021-10-27,Active
56,10,AC,18.34,Type 2,2022-12-01,Active
57,10,DC Ultra-Fast,186.3,CCS,2022-12-31,Active
58,10,DC Ultra-Fast,244.0,CCS,2022-10-15,Active
59,10,AC,9.41,Type 2,2023-01-15,Active
60,10,DC Fast,66.04,CCS,2022-11-15,Active
61,10,AC,8.74,Type 2,2022-11-30,Active
62,10,AC,20.04,Type 2,2022-11-04,Active
63,11,DC Fast,98.08,CHAdeMO,2022-04-05,Active
64,11,DC Fast,113.49,CHAdeMO,2022-09-17,Active
65,11,AC,16.45,Type 2,2022-05-02,Active
66,11,AC,13.12,Type 2,2022-04-21,Active
67,11,AC,19.48,Type 2,2022-06-05,Active
68,11,AC,19.52,Type 2,2022-05-24,Active
69,11,AC,9.86,Type 2,2022-04-09,Active
70,12,AC,18.82,Type 2,2022-09-19,Active
71,12,AC,15.8,Type 2,2022-10-27,Active
72,12,DC Fast,59.92,CHAdeMO,2023-01-13,Offline
73,12,DC Ultra-Fast,346.15,CCS,2023-02-12,Active
74,12,DC Ultra-Fast,232.16,CCS,2023-01-18,Active
75,12,DC Fast,64.75,CCS,2023-01-23,Offline
76,13,DC Fast,83.12,CCS,2022-04-21,Active
77,13,DC Ultra-Fast,153.07,CCS,2022-04-13,Active
78,13,DC Ultra-Fast,164.97,CCS,2022-03-26,Active
79,13,DC Fast,37.23,CHAdeMO,2022-06-20,Active
80,14,DC Ultra-Fast,275.36,CCS,2023-04-05,Active
81,14,AC,16.47,Type 2,2023-01-15,Active
82,14,DC Fast,38.86,CCS,2023-03-11,Active
83,14,AC,7.43,Type 2,2022-12-02,Active
84,14,DC Fast,43.1,CHAdeMO,2023-04-11,Active
85,14,AC,9.63,Type 2,2023-04-25,Active
86,15,DC Ultra-Fast,178.62,CCS,2023-02-06,Active
87,15,AC,7.14,Type 2,2022-11-08,Active
88,15,AC,13.63,Type 2,2023-01-24,Active
89,15,DC Ultra-Fast,288.06,CCS,2022-11-12,Active
90,15,DC Fast,73.49,CCS,2022-12-02,Active
91,15,DC Fast,119.34,CHAdeMO,2022-09-01,Maintenance
92,16,DC Fast,30.73,CCS,2023-03-17,Active
93,16,DC Fast,111.26,CCS,2023-03-17,Active
94,16,AC,9.85,Type 2,2023-04-04,Active
95,16,DC Fast,91.28,CCS,2023-03-22,Active
96,16,DC Fast,33.55,CHAdeMO,2022-10-21,Active
97,16,DC Fast,38.11,CHAdeMO,2023-01-04,Active
98,16,AC,8.98,Type 2,2023-02-25,Active
99,16,AC,9.47,Type 2,2022-12-27,Active
100,17,DC Fast,72.15,CCS,2021-05-14,Active
101,17,AC,17.14,Type 2,2021-08-28,Active
102,17,DC Fast,31.25,CCS,2021-08-02,Active
103,17,DC Fast,53.59,CHAdeMO,2021-09-18,Offline
104,17,AC,10.51,Type 2,2021-09-13,Active
105,18,AC,16.15,Type 2,2021-10-29,Active
106,18,DC Ultra-Fast,210.44,CCS,2021-06-18,Active
107,18,DC Ultra-Fast,210.87,CCS,2021-06-18,Active
108,18,DC Ultra-Fast,177.13,CCS,2021-08-22,Active
109,18,DC Fast,115.14,CHAdeMO,2021-10-17,Active
110,18,AC,13.22,Type 2,2021-09-22,Active
111,18,DC Ultra-Fast,205.95,CCS,2021-07-14,Active
112,19,DC Ultra-Fast,169.87,CCS,2023-04-04,Active
113,19,DC Fast,35.45,CHAdeMO,2023-01-03,Offline
114,19,DC Ultra-Fast,314.84,CCS,2023-05-04,Active
115,19,DC Fast,117.4,CCS,2023-02-09,Active
116,20,DC Fast,48.47,CCS,2023-03-11,Active
117,20,DC Ultra-Fast,215.71,CCS,2023-03-13,Active
118,20,DC Ultra-Fast,178.94,CCS,2023-02-27,Active
119,20,AC,16.92,Type 2,2022-11-14,Active
120,21,DC Fast,31.42,CHAdeMO,2021-12-21,Active
121,21,DC Fast,40.23,CCS,2022-04-08,Active
122,21,DC Fast,83.43,CHAdeMO,2022-04-15,Active
123,21,DC Fast,95.45,CHAdeMO,2022-04-04,Active
124,22,AC,14.18,Type 2,2022-04-12,Active
125,22,DC Fast,111.87,CCS,2022-01-13,Active
126,22,AC,8.89,Type 2,2022-03-31,Maintenance
127,23,AC,14.58,Type 2,2022-06-26,Active
128,23,AC,16.82,Type 2,2022-09-19,Active
129,23,AC,12.08,Type 2,2022-09-11,Active
130,23,AC,13.4,Type 2,2022-09-04,Offline
131,23,DC Fast,72.68,CCS,2022-06-22,Active
132,23,AC,18.08,Type 2,2022-10-21,Active
133,23,DC Ultra-Fast,262.34,CCS,2022-09-14,Active
134,24,DC Ultra-Fast,234.59,CCS,2021-04-15,Active
135,24,DC Fast,82.01,CCS,2021-03-12,Active
136,24,AC,8.62,Type 2,2021-03-02,Active
137,24,DC Fast,102.65,CCS,2021-07-06,Offline
138,24,DC Fast,54.07,CCS,2021-04-11,Active
139,24,AC,12.1,Type 2,2021-03-19,Active
140,24,DC Fast,66.07,CCS,2021-07-13,Maintenance
141,24,AC,14.96,Type 2,2021-05-19,Active
142,25,DC Fast,94.94,CCS,2021-04-04,Active
143,25,DC Fast,34.48,CCS,2021-05-30,Active
144,25,DC Fast,84.64,CHAdeMO,2021-05-30,Active
145,25,DC Fast,61.07,CCS,2021-06-02,Active
146,26,DC Fast,90.04,CCS,2022-09-12,Active
147,26,DC Fast,30.69,CHAdeMO,2022-09-10,Active
148,26,DC Fast,56.05,CCS,2022-07-19,Active
149,26,DC Fast,41.63,CCS,2022-11-23,Active
150,26,DC Fast,61.88,CHAdeMO,2022-07-28,Active
151,26,DC Fast,37.01,CHAdeMO,2022-12-12,Active
152,26,DC Fast,87.61,CHAdeMO,2022-08-16,Active
153,27,AC,21.21,Type 2,2021-09-09,Active
154,27,AC,19.67,Type 2,2021-07-06,Active
155,27,DC Fast,65.62,CHAdeMO,2021-06-11,Active
156,27,DC Fast,36.87,CCS,2021-07-30,Active
157,27,DC Ultra-Fast,219.88,CCS,2021-05-16,Active
158,28,AC,16.04,Type 2,2021-03-16,Offline
159,28,DC Fast,71.76,CHAdeMO,2021-07-23,Offline
160,28,DC Fast,87.18,CHAdeMO,2021-07-09,Active
161,28,DC Fast,72.2,CHAdeMO,2021-04-10,Active
162,28,DC Fast,36.68,CHAdeMO,2021-05-25,Active
163,29,DC Fast,36.91,CCS,2022-10-16,Active
164,29,DC Fast,82.23,CCS,2022-09-04,Active
165,29,DC Fast,46.94,CHAdeMO,2022-09-17,Active
166,29,AC,8.55,Type 2,2022-06-02,Active
167,29,AC,10.72,Type 2,2022-09-01,Active
168,30,AC,12.59,Type 2,2022-02-24,Active
169,30,AC,15.97,Type 2,2021-12-03,Active
170,30,DC Fast,64.79,CHAdeMO,2022-05-04,Offline
171,30,DC Fast,43.53,CCS,2022-04-15,Active
172,30,DC Ultra-Fast,212.05,CCS,2021-12-20,Active
173,30,DC Ultra-Fast,211.92,CCS,2022-04-30,Active
174,30,DC Fast,90.31,CCS,2022-05-01,Active
175,31,DC Fast,62.63,CCS,2021-07-24,Active
176,31,DC Fast,47.28,CCS,2021-07-09,Active
177,31,DC Fast,39.1,CCS,2021-11-16,Active
178,31,DC Fast,41.79,CHAdeMO,2021-07-09,Active
179,31,DC Fast,99.4,CCS,2021-09-20,Active
180,31,DC Fast,94.76,CHAdeMO,2021-11-03,Active
181,31,DC Fast,70.4,CCS,2021-08-18,Offline
182,32,DC Ultra-Fast,188.8,CCS,2022-09-24,Active
183,32,DC Fast,75.26,CHAdeMO,2022-07-09,Active
184,32,DC Fast,42.46,CHAdeMO,2022-06-11,Active
185,32,DC Ultra-Fast,260.91,CCS,2022-10-08,Active
186,32,AC,18.45,Type 2,2022-09-21,Active
187,32,AC,13.56,Type 2,2022-09-21,Active
188,33,DC Fast,65.68,CHAdeMO,2021-05-13,Active
189,33,AC,10.37,Type 2,2021-04-08,Active
190,33,DC Fast,101.22,CCS,2021-03-23,Active
191,34,DC Fast,42.49,CHAdeMO,2022-12-04,Active
192,34,DC Ultra-Fast,153.8,CCS,2022-09-19,Active
193,34,DC Fast,77.5,CCS,2022-10-24,Active
194,34,AC,10.58,Type 2,2022-08-28,Active
195,34,DC Ultra-Fast,269.35,CCS,2023-01-20,Active
196,34,AC,9.15,Type 2,2022-08-12,Active
197,35,DC Fast,46.86,CCS,2021-11-10,Maintenance
198,35,AC,14.89,Type 2,2021-10-06,Active
199,35,AC,12.8,Type 2,2021-09-01,Active
200,35,DC Fast,36.08,CCS,2021-12-14,Active
201,36,DC Fast,59.93,CCS,2021-08-12,Active
202,36,DC Fast,45.76,CHAdeMO,2021-11-08,Active
203,36,AC,9.02,Type 2,2021-05-23,Active
204,36,AC,9.99,Type 2,2021-08-02,Offline
205,36,DC Fast,119.02,CHAdeMO,2021-07-17,Active
206,36,DC Fast,55.75,CCS,2021-10-28,Active
207,36,AC,12.52,Type 2,2021-09-03,Active
208,37,AC,9.8,Type 2,2022-11-15,Offline
209,37,DC Fast,102.1,CHAdeMO,2022-09-02,Active
210,37,DC Ultra-Fast,186.09,CCS,2022-11-03,Active
211,37,AC,11.43,Type 2,2023-01-14,Active
212,37,AC,13.66,Type 2,2022-08-23,Active
213,37,DC Ultra-Fast,272.97,CCS,2022-10-22,Active
214,38,AC,16.56,Type 2,2023-03-25,Active
215,38,DC Fast,115.75,CCS,2023-04-18,Active
216,38,DC Fast,41.36,CCS,2023-04-28,Active
217,39,DC Ultra-Fast,156.48,CCS,2021-09-19,Active
218,39,DC Fast,69.95,CCS,2021-08-23,Active
219,39,DC Fast,58.29,CHAdeMO,2021-06-01,Offline
220,39,AC,9.79,Type 2,2021-08-20,Active
221,39,DC Fast,93.36,CCS,2021-09-02,Active
222,39,DC Ultra-Fast,248.24,CCS,2021-05-03,Active
223,40,AC,17.7,Type 2,2022-04-18,Offline
224,40,DC Ultra-Fast,283.57,CCS,2022-03-15,Active
225,40,DC Ultra-Fast,320.27,CCS,2022-01-26,Active
226,40,AC,10.01,Type 2,2021-12-25,Active
227,40,AC,15.31,Type 2,2022-02-22,Active
228,40,DC Fast,85.08,CCS,2021-11-11,Active
229,41,DC Fast,77.31,CHAdeMO,2022-05-03,Active
230,41,DC Ultra-Fast,278.47,CCS,2022-04-05,Active
231,41,AC,20.17,Type 2,2022-01-09,Active
232,41,DC Ultra-Fast,161.08,CCS,2022-04-18,Active
233,41,AC,11.84,Type 2,2022-03-05,Offline
234,41,DC Fast,55.56,CCS,2022-02-09,Active
235,41,DC Ultra-Fast,204.89,CCS,2022-05-13,Active
236,41,DC Fast,45.18,CCS,2022-01-19,Active
237,42,DC Ultra-Fast,217.52,CCS,2021-07-16,Active
238,42,DC Ultra-Fast,304.2,CCS,2021-12-22,Active
239,42,DC Fast,85.63,CCS,2021-11-13,Active
240,42,DC Fast,87.77,CHAdeMO,2021-11-09,Active
241,42,DC Fast,66.55,CHAdeMO,2021-07-27,Active
242,42,AC,13.23,Type 2,2021-08-30,Active
243,42,AC,19.92,Type 2,2021-10-05,Maintenance
244,42,AC,12.56,Type 2,2021-09-28,Active
245,43,AC,10.72,Type 2,2023-01-02,Active
246,43,DC Fast,85.38,CCS,2023-01-30,Active
247,43,DC Ultra-Fast,294.23,CCS,2023-01-30,Active
248,44,DC Fast,109.12,CHAdeMO,2021-02-07,Active
249,44,DC Fast,71.15,CCS,2021-03-29,Active
250,44,AC,11.22,Type 2,2021-04-16,Active
251,44,DC Fast,68.78,CHAdeMO,2021-05-06,Active
252,44,DC Fast,66.05,CCS,2021-05-05,Active
253,44,AC,14.56,Type 2,2021-07-11,Active
254,44,AC,21.63,Type 2,2021-05-08,Active
255,45,DC Fast,62.9,CCS,2021-05-05,Active
256,45,DC Fast,33.62,CCS,2021-04-20,Active
257,45,DC Fast,76.74,CCS,2021-08-18,Active
258,45,AC,20.97,Type 2,2021-04-26,Active
259,45,DC Fast,105.83,CHAdeMO,2021-07-23,Active
260,46,DC Fast,80.66,CHAdeMO,2021-10-17,Active
261,46,DC Fast,118.19,CHAdeMO,2022-04-07,Active
262,46,DC Fast,53.9,CCS,2021-10-26,Active
263,46,AC,16.44,Type 2,2021-11-19,Active
264,46,AC,15.59,Type 2,2021-11-30,Active
265,46,AC,9.27,Type 2,2022-01-26,Active
266,46,DC Fast,72.44,CCS,2022-04-11,Active
267,47,DC Fast,119.83,CHAdeMO,2021-12-19,Active
268,47,DC Ultra-Fast,241.93,CCS,2021-12-24,Active
269,47,DC Fast,94.88,CHAdeMO,2022-01-10,Active
270,47,DC Ultra-Fast,205.8,CCS,2021-10-03,Offline
271,48,DC Fast,93.44,CHAdeMO,2022-12-05,Active
272,48,DC Fast,114.1,CHAdeMO,2022-11-27,Active
273,48,DC Fast,64.17,CHAdeMO,2022-12-12,Offline
274,48,DC Fast,56.14,CHAdeMO,2022-10-05,Active
275,48,DC Fast,53.08,CHAdeMO,2022-11-08,Active
276,49,AC,15.43,Type 2,2021-04-22,Active
277,49,DC Fast,51.54,CCS,2021-09-05,Active
278,49,AC,10.49,Type 2,2021-07-01,Active
279,49,DC Fast,91.31,CCS,2021-03-19,Offline
280,49,DC Ultra-Fast,181.59,CCS,2021-07-18,Active
281,49,DC Fast,55.85,CHAdeMO,2021-08-30,Active
282,49,DC Fast,88.71,CCS,2021-08-01,Active
283,50,DC Ultra-Fast,185.01,CCS,2022-08-07,Maintenance
284,50,DC Fast,74.58,CHAdeMO,2022-08-07,Active
285,50,DC Fast,39.66,CHAdeMO,2022-10-09,Active
286,51,DC Fast,74.45,CCS,2021-11-04,Active
287,51,AC,8.69,Type 2,2021-10-23,Active
288,51,DC Fast,31.27,CHAdeMO,2021-09-11,Active
289,51,DC Fast,45.79,CHAdeMO,2021-10-15,Active
290,51,AC,17.04,Type 2,2021-08-02,Active
291,51,DC Ultra-Fast,151.37,CCS,2021-08-27,Active
292,51,AC,11.94,Type 2,2021-09-02,Active
293,51,DC Fast,35.59,CCS,2021-10-25,Active
294,52,DC Fast,113.08,CHAdeMO,2023-06-26,Active
295,52,DC Ultra-Fast,209.01,CCS,2023-02-26,Offline
296,52,DC Fast,70.95,CHAdeMO,2023-04-17,Active
297,52,DC Ultra-Fast,301.47,CCS,2023-03-05,Active
298,52,DC Fast,100.86,CHAdeMO,2023-05-16,Active
299,52,AC,15.46,Type 2,2023-05-21,Active
300,53,DC Fast,43.49,CHAdeMO,2023-04-25,Active
301,53,DC Fast,94.52,CHAdeMO,2023-01-05,Active
302,53,DC Fast,35.01,CCS,2023-04-23,Active
303,53,DC Fast,80.29,CHAdeMO,2022-12-18,Active
304,54,DC Fast,82.05,CCS,2022-06-09,Active
305,54,AC,21.91,Type 2,2022-06-21,Active
306,54,DC Fast,99.21,CHAdeMO,2022-05-27,Maintenance
307,55,DC Fast,112.54,CHAdeMO,2021-09-04,Active
308,55,DC Ultra-Fast,324.91,CCS,2021-11-14,Active
309,55,AC,21.89,Type 2,2021-10-13,Active
310,55,DC Ultra-Fast,316.96,CCS,2021-08-15,Active
311,55,DC Fast,68.17,CHAdeMO,2021-07-28,Active
312,55,AC,11.13,Type 2,2021-06-08,Active
313,56,DC Fast,114.26,CCS,2021-10-22,Active
314,56,AC,7.5,Type 2,2021-10-23,Active
315,56,DC Fast,51.09,CCS,2021-09-05,Active
316,56,DC Ultra-Fast,196.83,CCS,2022-01-16,Active
317,56,DC Fast,58.86,CHAdeMO,2021-09-27,Maintenance
318,56,DC Fast,67.22,CHAdeMO,2021-09-06,Active
319,57,DC Ultra-Fast,332.32,CCS,2023-01-15,Active
320,57,DC Ultra-Fast,338.32,CCS,2023-01-07,Active
321,57,DC Fast,43.43,CHAdeMO,2022-10-12,Active
322,57,DC Fast,106.44,CHAdeMO,2022-10-01,Active
323,57,DC Ultra-Fast,262.48,CCS,2023-01-15,Active
324,57,DC Fast,52.95,CHAdeMO,2023-02-07,Active
325,57,DC Fast,63.4,CCS,2022-09-08,Active
326,58,DC Fast,33.56,CCS,2021-08-05,Active
327,58,DC Fast,90.43,CCS,2021-10-18,Active
328,58,DC Ultra-Fast,210.64,CCS,2021-08-11,Offline
329,58,DC Ultra-Fast,173.46,CCS,2021-08-19,Active
330,58,DC Fast,65.7,CCS,2021-11-06,Active
331,58,AC,13.99,Type 2,2021-09-04,Active
332,58,DC Fast,74.75,CCS,2021-10-16,Active
333,58,AC,10.05,Type 2,2021-10-01,Active
334,59,DC Fast,31.46,CHAdeMO,2021-07-04,Active
335,59,AC,12.7,Type 2,2021-08-25,Active
336,59,DC Ultra-Fast,217.51,CCS,2021-10-01,Active
337,59,DC Fast,95.95,CHAdeMO,2021-06-02,Active
338,60,DC Fast,112.52,CCS,2021-11-09,Active
339,60,DC Fast,115.07,CCS,2021-06-29,Active
340,60,DC Fast,50.83,CCS,2021-06-30,Active
341,60,DC Fast,35.44,CHAdeMO,2021-12-13,Active
342,60,AC,15.27,Type 2,2021-07-02,Active
343,60,AC,21.66,Type 2,2021-11-03,Active
344,60,DC Fast,102.56,CCS,2021-07-25,Active
345,61,AC,9.88,Type 2,2022-09-08,Active
346,61,DC Fast,63.57,CHAdeMO,2022-10-05,Active
347,61,DC Ultra-Fast,195.17,CCS,2022-11-24,Maintenance
348,61,DC Fast,32.85,CHAdeMO,2022-09-15,Active
349,61,DC Fast,87.31,CCS,2022-07-01,Active
350,61,DC Fast,100.59,CCS,2022-10-23,Active
351,61,AC,20.52,Type 2,2022-08-18,Active
352,62,DC Fast,55.23,CCS,2021-03-30,Offline
353,62,AC,21.42,Type 2,2021-05-25,Offline
354,62,AC,15.46,Type 2,2021-08-05,Active
355,63,DC Fast,96.58,CCS,2021-11-26,Active
356,63,AC,8.47,Type 2,2021-08-09,Active
357,63,DC Fast,115.94,CHAdeMO,2021-10-12,Active
358,63,AC,21.89,Type 2,2021-09-17,Active
359,63,DC Ultra-Fast,236.37,CCS,2021-08-11,Active
360,64,DC Fast,94.18,CCS,2022-07-23,Active
361,64,DC Fast,87.05,CHAdeMO,2022-08-05,Active
362,64,AC,21.14,Type 2,2022-08-16,Active
363,64,AC,8.31,Type 2,2022-09-07,Active
364,64,DC Fast,39.3,CCS,2022-08-14,Active
365,65,DC Fast,59.2,CHAdeMO,2021-05-12,Active
366,65,DC Fast,37.62,CCS,2021-10-02,Active
367,65,DC Fast,45.26,CHAdeMO,2021-07-25,Active
368,65,AC,9.51,Type 2,2021-08-24,Active
369,65,DC Fast,62.5,CCS,2021-10-16,Active
370,65,DC Fast,71.21,CCS,2021-07-25,Active
371,65,DC Fast,105.75,CHAdeMO,2021-08-01,Active
372,66,DC Fast,107.36,CCS,2022-08-05,Active
373,66,DC Ultra-Fast,190.17,CCS,2022-07-05,Offline
374,66,DC Ultra-Fast,208.29,CCS,2022-10-15,Active
375,66,AC,11.2,Type 2,2022-08-22,Active
376,66,DC Fast,83.3,CCS,2022-11-11,Active
377,66,AC,17.91,Type 2,2022-09-10,Active
378,67,AC,19.72,Type 2,2021-09-14,Active
379,67,DC Fast,51.78,CCS,2021-07-12,Active
380,67,AC,21.86,Type 2,2021-08-22,Active
381,67,DC Fast,112.84,CHAdeMO,2021-08-12,Active
382,67,DC Ultra-Fast,290.33,CCS,2021-04-22,Active
383,67,DC Fast,61.95,CCS,2021-08-17,Maintenance
384,67,DC Fast,65.97,CHAdeMO,2021-07-14,Active
385,67,AC,10.33,Type 2,2021-07-18,Active
386,68,DC Fast,82.97,CCS,2023-02-26,Maintenance
387,68,DC Fast,56.59,CCS,2022-12-29,Active
388,68,DC Fast,61.35,CHAdeMO,2023-03-26,Active
389,68,DC Fast,61.35,CCS,2023-03-22,Active
390,68,DC Fast,36.05,CCS,2022-12-29,Active
391,68,AC,8.64,Type 2,2023-01-31,Active
392,69,AC,15.4,Type 2,2022-07-01,Active
393,69,DC Fast,46.77,CHAdeMO,2022-08-12,Active
394,69,DC Fast,47.76,CHAdeMO,2022-08-10,Active
395,69,AC,11.18,Type 2,2022-09-27,Active
396,69,DC Ultra-Fast,187.39,CCS,2022-06-22,Active
397,69,AC,19.94,Type 2,2022-10-02,Active
398,69,DC Fast,40.28,CHAdeMO,2022-08-28,Active
399,70,DC Fast,56.77,CCS,2022-11-15,Active
400,70,AC,11.58,Type 2,2022-08-30,Active
401,70,DC Fast,67.64,CCS,2022-10-21,Active
402,70,AC,16.53,Type 2,2022-10-16,Active
403,70,AC,9.81,Type 2,2022-11-01,Active
404,70,DC Fast,30.86,CCS,2022-07-15,Active
405,70,DC Ultra-Fast,251.09,CCS,2022-09-08,Active
406,70,DC Fast,105.59,CHAdeMO,2022-07-08,Active
407,71,DC Fast,49.85,CCS,2021-07-30,Active
408,71,AC,18.71,Type 2,2021-10-08,Active
409,71,DC Fast,54.11,CHAdeMO,2021-10-06,Active
410,72,DC Fast,69.72,CCS,2022-02-27,Active
411,72,DC Fast,97.62,CHAdeMO,2021-11-19,Active
412,72,AC,19.25,Type 2,2021-12-11,Active
413,73,AC,18.06,Type 2,2021-08-01,Active
414,73,AC,9.09,Type 2,2021-04-19,Active
415,73,DC Fast,77.91,CCS,2021-05-19,Maintenance
416,73,AC,15.59,Type 2,2021-04-01,Offline
417,74,DC Ultra-Fast,348.5,CCS,2022-05-05,Active
418,74,AC,17.67,Type 2,2022-04-29,Active
419,74,AC,16.49,Type 2,2022-02-11,Active
420,74,DC Fast,109.21,CCS,2022-02-18,Active
421,74,AC,21.05,Type 2,2022-03-03,Offline
422,74,AC,7.04,Type 2,2022-03-04,Active
423,75,DC Fast,35.7,CHAdeMO,2021-04-07,Offline
424,75,DC Fast,74.52,CHAdeMO,2021-04-24,Active
425,75,DC Fast,80.95,CHAdeMO,2021-05-09,Active
426,75,DC Fast,34.13,CHAdeMO,2021-02-15,Active
427,75,DC Ultra-Fast,238.26,CCS,2021-05-31,Active
428,75,DC Fast,41.87,CHAdeMO,2021-03-23,Active
429,75,DC Ultra-Fast,168.67,CCS,2021-04-16,Active
430,75,DC Fast,88.4,CCS,2021-05-23,Active
431,76,DC Fast,51.07,CCS,2023-03-22,Active
432,76,AC,8.17,Type 2,2023-02-02,Active
433,76,AC,17.43,Type 2,2023-01-09,Active
434,76,DC Fast,50.61,CCS,2022-10-19,Active
435,76,DC Fast,56.93,CHAdeMO,2022-10-27,Active
436,76,DC Fast,36.16,CCS,2023-02-26,Active
437,76,DC Fast,95.02,CCS,2023-01-06,Active
438,76,DC Fast,49.55,CCS,2022-10-28,Active
439,77,DC Fast,61.64,CHAdeMO,2022-12-01,Active
440,77,AC,16.67,Type 2,2023-01-31,Active
441,77,DC Fast,55.64,CCS,2023-02-27,Active
442,77,AC,16.1,Type 2,2022-12-21,Active
443,77,AC,20.47,Type 2,2023-01-16,Active
444,77,AC,16.57,Type 2,2023-01-25,Active
445,77,AC,12.42,Type 2,2022-10-15,Active
446,78,DC Fast,79.17,CCS,2021-10-29,Offline
447,78,DC Fast,31.5,CCS,2021-07-04,Active
448,78,AC,7.91,Type 2,2021-11-07,Active
449,78,DC Fast,99.04,CHAdeMO,2021-12-27,Active
450,78,DC Fast,78.39,CCS,2021-09-10,Active
451,78,AC,20.81,Type 2,2021-11-15,Active
452,78,DC Fast,98.69,CCS,2021-09-18,Active
453,79,DC Ultra-Fast,197.73,CCS,2022-07-20,Offline
454,79,AC,16.18,Type 2,2022-09-15,Active
455,79,DC Fast,45.81,CCS,2022-08-02,Active
456,79,AC,21.3,Type 2,2022-08-09,Active
457,79,DC Fast,108.61,CCS,2022-07-05,Active
458,79,DC Fast,77.15,CHAdeMO,2022-11-22,Active
459,79,DC Fast,75.97,CCS,2022-11-02,Active
460,79,AC,9.36,Type 2,2022-11-21,Active
461,80,AC,14.63,Type 2,2022-10-19,Active
462,80,DC Fast,64.47,CCS,2022-11-30,Offline
463,80,DC Ultra-Fast,260.57,CCS,2022-12-12,Active
464,81,DC Ultra-Fast,213.99,CCS,2023-02-16,Active
465,81,DC Fast,111.17,CCS,2022-11-19,Active
466,81,DC Ultra-Fast,340.82,CCS,2023-01-20,Active
467,81,DC Fast,57.96,CCS,2023-02-11,Active
468,81,DC Fast,56.24,CHAdeMO,2023-03-01,Active
469,81,DC Fast,117.47,CCS,2023-02-09,Active
470,82,AC,20.99,Type 2,2023-02-14,Active
471,82,DC Fast,92.41,CCS,2023-03-12,Active
472,82,DC Fast,106.41,CHAdeMO,2023-01-12,Active
473,82,DC Ultra-Fast,233.96,CCS,2023-01-22,Active
474,83,AC,10.47,Type 2,2023-01-10,Active
475,83,DC Fast,97.31,CCS,2022-11-21,Active
