station_id,location_id,station_name,opened_date,status,parking_slots
76,5,Pune EV Hub 76,2022-09-23,Active,18
77,5,Pune EV Hub 77,2022-09-12,Active,14
78,5,Pune EV Hub 78,2021-07-01,Active,21
79,5,Pune EV Hub 79,2022-06-28,Active,15
80,5,Pune EV Hub 80,2022-10-16,Active,25
81,5,Pune EV Hub 81,2022-09-23,Active,25
82,5,Pune EV Hub 82,2022-12-17,Inactive,15
83,5,Pune EV Hub 83,2022-07-15,Active,23
84,5,Pune EV Hub 84,2022-05-28,Active,9
85,5,Pune EV Hub 85,2022-07-17,Active,20
86,5,Pune EV Hub 86,2022-04-05,Active,22
87,6,Chennai EV Hub 87,2021-10-25,Active,25
88,6,Chennai EV Hub 88,2021-02-23,Active,12
89,6,Chennai EV Hub 89,2022-06-21,Active,9
90,6,Chennai EV Hub 90,2021-05-18,Active,9
91,6,Chennai EV Hub 91,2022-02-14,Active,26
92,6,Chennai EV Hub 92,2021-08-31,Active,24
93,6,Chennai EV Hub 93,2022-07-24,Active,24
94,6,Chennai EV Hub 94,2022-10-11,Active,10
95,6,Chennai EV Hub 95,2021-05-02,Active,15
96,6,Chennai EV Hub 96,2021-11-14,Active,26
97,6,Chennai EV Hub 97,2022-04-24,Active,9
98,6,Chennai EV Hub 98,2021-04-07,Active,29
99,6,Chennai EV Hub 99,2021-05-14,Active,18
100,6,Chennai EV Hub 100,2022-04-09,Active,30
101,6,Chennai EV Hub 101,2022-02-14,Active,20
102,6,Chennai EV Hub 102,2022-08-20,Active,17
103,7,Kolkata EV Hub 103,2022-02-12,Active,10
104,7,Kolkata EV Hub 104,2022-12-23,Active,26
105,7,Kolkata EV Hub 105,2022-09-21,Active,14
106,7,Kolkata EV Hub 106,2021-08-01,Active,19
107,7,Kolkata EV Hub 107,2022-10-23,Active,19
108,7,Kolkata EV Hub 108,2022-03-16,Active,25
109,7,Kolkata EV Hub 109,2021-01-11,Active,28
110,7,Kolkata EV Hub 110,2021-07-09,Active,25
111,7,Kolkata EV Hub 111,2022-03-01,Active,11
112,7,Kolkata EV Hub 112,2022-08-17,Active,11
113,7,Kolkata EV Hub 113,2021-06-14,Active,17
114,7,Kolkata EV Hub 114,2021-04-22,Active,18
115,7,Kolkata EV Hub 115,2022-06-07,Active,16
116,7,Kolkata EV Hub 116,2021-08-02,Active,9
117,7,Kolkata EV Hub 117,2022-09-29,Active,16
118,7,Kolkata EV Hub 118,2022-11-17,Active,12
119,7,Kolkata EV Hub 119,2021-03-20,Inactive,13
120,7,Kolkata EV Hub 120,2021-10-06,Active,21
121,7,Kolkata EV Hub 121,2021-06-06,Active,10
122,7,Kolkata EV Hub 122,2021-01-24,Active,25
123,7,Kolkata EV Hub 123,2022-11-26,Active,26
124,7,Kolkata EV Hub 124,2021-06-15,Active,12
125,7,Kolkata EV Hub 125,2022-11-20,Active,9
126,7,Kolkata EV Hub 126,2021-12-31,Active,15
127,7,Kolkata EV Hub 127,2021-02-18,Active,25
128,8,Ahmedabad EV Hub 128,2021-04-06,Active,15
129,8,Ahmedabad EV Hub 129,2022-07-19,Inactive,13
130,8,Ahmedabad EV Hub 130,2021-11-05,Active,18
131,8,Ahmedabad EV Hub 131,2021-11-06,Active,15
132,8,Ahmedabad EV Hub 132,2022-04-03,Active,30
133,8,Ahmedabad EV Hub 133,2022-09-13,Active,9
134,8,Ahmedabad EV Hub 134,2021-09-07,Active,22
135,8,Ahmedabad EV Hub 135,2022-01-08,Active,15
136,8,Ahmedabad EV Hub 136,2022-05-18,Active,14
137,8,Ahmedabad EV Hub 137,2021-11-19,Active,10
138,8,Ahmedabad EV Hub 138,2022-03-22,Active,24
139,8,Ahmedabad EV Hub 139,2021-11-18,Active,25
140,8,Ahmedabad EV Hub 140,2022-01-27,Active,11
141,8,Ahmedabad EV Hub 141,2022-04-09,Active,16
142,8,Ahmedabad EV Hub 142,2022-11-23,Active,21
143,8,Ahmedabad EV Hub 143,2022-01-13,Active,18
144,8,Ahmedabad EV Hub 144,2021-10-12,Active,24
145,9,Jaipur EV Hub 145,2021-12-03,Active,14
146,9,Jaipur EV Hub 146,2022-04-16,Active,21
147,9,Jaipur EV Hub 147,2022-12-31,Active,25
148,9,Jaipur EV Hub 148,2021-01-28,Active,29
149,9,Jaipur EV Hub 149,2022-06-14,Active,10
150,9,Jaipur EV Hub 150,2021-02-20,Active,27
151,9,Jaipur EV Hub 151,2022-02-14,Active,11
152,9,Jaipur EV Hub 152,2022-02-28,Active,29
153,10,Indore EV Hub 153,2022-02-01,Active,17
154,10,Indore EV Hub 154,2021-06-13,Active,21
155,10,Indore EV Hub 155,2021-02-20,Active,29
156,10,Indore EV Hub 156,2022-07-07,Active,17
157,10,Indore EV Hub 157,2021-11-12,Active,8
158,10,Indore EV Hub 158,2022-02-24,Active,21
159,10,Indore EV Hub 159,2021-05-18,Active,18
160,10,Indore EV Hub 160,2021-09-12,Active,29
161,10,Indore EV Hub 161,2022-05-28,Active,13
162,10,Indore EV Hub 162,2021-02-26,Active,24
163,10,Indore EV Hub 163,2021-02-21,Active,18
164,11,Bhopal EV Hub 164,2022-05-06,Active,15
165,11,Bhopal EV Hub 165,2022-06-12,Active,9
166,11,Bhopal EV Hub 166,2022-04-26,Inactive,27
167,11,Bhopal EV Hub 167,2022-10-19,Active,28
168,11,Bhopal EV Hub 168,2021-05-22,Active,30
169,11,Bhopal EV Hub 169,2021-12-04,Active,15
170,11,Bhopal EV Hub 170,2022-08-03,Active,8
171,11,Bhopal EV Hub 171,2022-09-14,Active,15
172,12,Surat EV Hub 172,2021-01-19,Active,9
173,12,Surat EV Hub 173,2021-06-10,Active,11
174,12,Surat EV Hub 174,2021-09-21,Active,22
175,12,Surat EV Hub 175,2021-02-17,Active,25
176,12,Surat EV Hub 176,2021-05-02,Active,22
177,12,Surat EV Hub 177,2021-04-14,Active,24
178,12,Surat EV Hub 178,2021-10-22,Active,25
179,12,Surat EV Hub 179,2021-10-02,Active,23
180,12,Surat EV Hub 180,2021-09-28,Active,15
181,12,Surat EV Hub 181,2021-03-20,Active,24
182,12,Surat EV Hub 182,2021-08-23,Active,16
183,12,Surat EV Hub 183,2021-10-08,Active,17
184,12,Surat EV Hub 184,2022-05-06,Active,18
185,12,Surat EV Hub 185,2021-06-27,Active,12
186,12,Surat EV Hub 186,2022-05-10,Active,12
