maintenance_id,charger_id,issue_type,reported_date,resolved_date,downtime_hours,maintenance_cost,status
49,41,Power Supply,2024-03-07,2024-03-09 20:18:36,68.31,9395.64,Resolved
50,42,Cooling System,2025-02-16,2025-02-17 14:34:48,38.58,9524.39,Resolved
51,43,Connector,2023-01-21,2023-01-21 04:45:00,4.75,6761.93,Resolved
52,48,Connector,2023-11-07,2023-11-08 19:57:36,43.96,14487.51,Resolved
53,48,Hardware,2023-01-09,2023-01-11 21:27:00,69.45,1747.64,Resolved
54,48,Power Supply,2023-12-12,2023-12-13 10:27:36,34.46,7884.4,Resolved
55,49,Cooling System,2025-11-18,2025-11-18 09:41:24,9.69,11120.76,Resolved
56,49,Power Supply,2024-09-09,2024-09-11 08:57:00,56.95,9493.98,Resolved
57,49,Software,2023-08-02,2023-08-02 21:01:12,21.02,9018.98,Resolved
58,49,Connector,2023-02-14,2023-02-15 17:40:12,41.67,4120.82,Resolved
59,50,Hardware,2025-05-21,2025-05-21 20:42:00,20.7,14027.9,Resolved
60,51,Hardware,2023-04-25,2023-04-27 03:42:36,51.71,3221.11,Resolved
61,54,Cooling System,2024-08-27,2024-08-27 15:25:48,15.43,13700.33,Resolved
62,54,Connector,2025-07-10,2025-07-12 20:09:36,68.16,894.85,Resolved
63,54,Connector,2025-07-29,2025-07-31 19:23:24,67.39,10889.24,Resolved
64,56,Power Supply,2023-04-27,2023-04-27 07:51:36,7.86,2520.99,Resolved
65,56,Power Supply,2024-11-23,2024-11-24 10:18:00,34.3,8404.2,Resolved
66,56,Cooling System,2023-02-22,2023-02-23 15:14:24,39.24,13095.37,Resolved
67,57,Power Supply,2024-12-17,2024-12-17 15:46:48,15.78,11518.95,Resolved
68,57,Power Supply,2025-07-27,2025-07-27 11:35:24,11.59,14152.89,Resolved
69,58,Power Supply,2024-04-21,2024-04-22 23:42:36,47.71,12595.93,Resolved
70,58,Power Supply,2024-10-08,2024-10-08 22:34:48,22.58,11123.52,Resolved
71,59,Power Supply,2023-11-02,2023-11-04 05:45:36,53.76,11572.36,Resolved
72,60,Cooling System,2024-04-01,2024-04-03 12:58:12,60.97,8907.03,Resolved
73,60,Software,2024-04-10,2024-04-11 18:52:48,42.88,869.0,Resolved
74,60,Hardware,2025-05-30,2025-06-01 18:30:00,66.5,14031.76,Resolved
75,60,Hardware,2024-12-06,2024-12-08 08:46:12,56.77,9193.68,Resolved
76,61,Connector,2024-07-23,2024-07-25 18:24:36,66.41,8660.61,Resolved
77,61,Power Supply,2023-01-27,2023-01-29 17:13:48,65.23,5694.49,Resolved
78,61,Hardware,2024-12-29,2024-12-31 09:12:00,57.2,10357.45,Resolved
79,62,Software,2024-02-06,2024-02-07 09:28:48,33.48,14640.73,Resolved
80,63,Software,2023-10-05,2023-10-05 13:54:36,13.91,4467.92,Resolved
81,63,Power Supply,2024-12-11,2024-12-13 05:26:24,53.44,6870.68,Resolved
82,64,Software,2024-08-11,2024-08-13 03:28:48,51.48,11074.18,Resolved
83,67,Cooling System,2023-02-16,2023-02-18 01:21:36,49.36,1213.39,Resolved
84,68,Cooling System,2024-06-11,2024-06-13 05:55:12,53.92,9952.06,Resolved
85,70,Hardware,2023-10-06,2023-10-06 17:54:00,17.9,10270.16,Resolved
86,71,Connector,2024-02-01,2024-02-03 12:01:12,60.02,6067.13,Resolved
87,74,Software,2024-10-31,2024-11-01 01:48:00,25.8,12342.11,Resolved
88,76,Software,2024-03-21,2024-03-23 15:53:24,63.89,6476.56,Resolved
89,76,Cooling System,2023-12-27,2023-12-28 11:50:24,35.84,10525.35,Resolved
90,79,Cooling System,2025-07-16,2025-07-18 02:36:36,50.61,10033.7,Resolved
91,79,Software,2024-10-01,2024-10-02 13:25:48,37.43,14389.01,Resolved
92,79,Cooling System,2024-01-06,2024-01-06 19:07:12,19.12,9764.38,Resolved
93,80,Hardware,2023-11-30,2023-12-02 22:21:00,70.35,9678.33,Resolved
94,80,Cooling System,2024-12-08,2024-12-08 04:18:00,4.3,11936.34,Resolved
95,83,Power Supply,2024-02-22,2024-02-22 23:18:00,23.3,12132.06,Resolved
96,84,Connector,2024-02-06,2024-02-07 12:20:24,36.34,2730.66,Resolved
97,87,Connector,2025-06-23,2025-06-24 02:45:36,26.76,12433.25,Resolved
98,89,Hardware,2025-10-30,2025-11-01 04:04:12,52.07,11583.76,Resolved
99,90,Power Supply,2024-07-19,2024-07-21 02:13:48,50.23,6331.28,Resolved
100,90,Power Supply,2023-10-08,2023-10-09 19:22:12,43.37,4863.35,Resolved
101,90,Connector,2024-11-27,2024-11-29 13:31:48,61.53,10457.88,Resolved
102,90,Hardware,2023-05-01,2023-05-01 23:49:12,23.82,10396.39,Resolved
103,91,Hardware,2025-01-02,2025-01-04 07:06:36,55.11,11962.9,Resolved
104,91,Software,2025-08-11,2025-08-13 14:13:48,62.23,9088.68,Resolved
105,91,Software,2023-11-28,2023-11-28 13:51:00,13.85,5708.75,Resolved
106,91,Connector,2024-10-23,2024-10-25 15:18:36,63.31,13886.01,Resolved
107,92,Connector,2025-02-06,2025-02-06 23:40:12,23.67,11889.67,Resolved
108,93,Power Supply,2024-08-13,2024-08-13 02:09:36,2.16,6010.44,Resolved
109,94,Software,2025-10-02,2025-10-03 06:07:48,30.13,4818.99,Resolved
110,97,Cooling System,2023-06-22,2023-06-23 13:11:24,37.19,7476.09,Resolved
111,97,Power Supply,2025-05-05,2025-05-06 10:47:24,34.79,10642.74,Resolved
112,99,Power Supply,2024-07-05,2024-07-06 02:09:00,26.15,3599.04,Resolved
113,100,Software,2023-10-28,2023-10-30 01:36:00,49.6,10990.53,Resolved
114,100,Connector,2025-07-13,2025-07-13 19:31:48,19.53,4365.67,Resolved
115,100,Software,2023-01-02,2023-01-04 03:32:24,51.54,11391.27,Resolved
116,100,Software,2024-11-01,2024-11-02 23:17:24,47.29,13351.94,Resolved
117,101,Cooling System,2024-06-15,2024-06-15 11:07:12,11.12,8704.62,Resolved
118,101,Connector,2023-12-06,2023-12-08 20:26:24,68.44,8937.16,Resolved
119,103,Power Supply,2025-04-15,2025-04-16 05:31:12,29.52,3569.99,Resolved
120,103,Hardware,2023-11-13,2023-11-13 16:49:48,16.83,9327.53,Resolved
121,104,Software,2025-12-05,2025-12-07 05:43:48,53.73,5459.36,Resolved
122,104,Connector,2023-10-24,2023-10-25 13:22:48,37.38,7850.18,Resolved
123,105,Power Supply,2024-10-31,2024-11-02 20:49:48,68.83,14574.38,Resolved
124,106,Connector,2025-01-29,2025-01-29 20:06:36,20.11,4930.49,Resolved
125,106,Power Supply,2023-08-23,2023-08-23 20:03:00,20.05,13653.4,Resolved
126,106,Hardware,2025-01-26,2025-01-26 23:07:48,23.13,4255.39,Resolved
127,106,Hardware,2024-08-13,2024-08-15 02:43:12,50.72,3484.94,Resolved
128,108,Connector,2024-11-11,2024-11-12 13:21:36,37.36,4531.22,Resolved
129,108,Connector,2023-11-22,2023-11-22 05:53:24,5.89,11624.04,Resolved
130,110,Cooling System,2023-12-24,2023-12-26 22:37:12,70.62,811.11,Resolved
131,111,Cooling System,2024-01-22,2024-01-22 16:34:48,16.58,5378.99,Resolved
132,113,Software,2023-05-04,2023-05-05 13:59:24,37.99,6769.89,Resolved
133,113,Cooling System,2023-03-28,2023-03-30 04:00:36,52.01,1594.95,Resolved
134,114,Connector,2024-05-30,2024-06-01 07:58:12,55.97,12994.18,Resolved
135,114,Hardware,2023-03-18,2023-03-18 15:35:24,15.59,4846.45,Resolved
136,115,Cooling System,2024-01-19,2024-01-21 12:59:24,60.99,886.93,Resolved
137,115,Power Supply,2023-12-12,2023-12-13 01:02:24,25.04,2065.24,Resolved
138,115,Connector,2024-06-18,2024-06-18 05:46:48,5.78,2306.43,Resolved
139,115,Power Supply,2024-09-09,2024-09-10 05:00:00,29.0,13596.27,Resolved
140,116,Connector,2025-12-05,2025-12-07 06:13:48,54.23,13087.25,Resolved
141,116,Software,2025-11-05,2025-11-05 16:58:12,16.97,11760.07,Resolved
142,117,Power Supply,2024-11-23,2024-11-23 03:54:00,3.9,4623.57,Resolved
143,117,Cooling System,2023-07-31,2023-08-01 19:27:36,43.46,2437.93,Resolved
144,117,Hardware,2024-08-26,2024-08-26 04:36:36,4.61,14074.33,Resolved
145,117,Hardware,2025-01-30,2025-01-31 08:24:00,32.4,12565.19,Resolved
146,118,Power Supply,2024-11-29,2024-11-29 23:54:36,23.91,6840.46,Resolved
147,118,Cooling System,2023-03-05,2023-03-06 09:57:00,33.95,8728.0,Resolved
148,119,Hardware,2024-12-30,2024-12-31 02:32:24,26.54,11089.84,Resolved
149,120,Hardware,2024-02-26,2024-02-27 12:07:48,36.13,14203.99,Resolved
150,120,Software,2024-10-01,2024-10-01 03:19:48,3.33,11711.24,Resolved
151,120,Cooling System,2023-03-01,2023-03-02 06:21:36,30.36,13145.64,Resolved
152,122,Connector,2024-09-18,2024-09-20 01:17:24,49.29,3463.85,Resolved
153,122,Cooling System,2024-12-18,2024-12-18 08:13:48,8.23,6593.27,Resolved
154,122,Power Supply,2024-07-21,2024-07-22 14:08:24,38.14,9488.75,Resolved
155,123,Hardware,2024-01-10,2024-01-12 07:14:24,55.24,3916.5,Resolved
156,123,Hardware,2023-10-13,2023-10-14 13:46:12,37.77,1635.86,Resolved
157,123,Software,2025-07-25,2025-07-25 02:07:12,2.12,6526.91,Resolved
158,124,Power Supply,2024-10-18,2024-10-19 17:46:48,41.78,10901.06,Resolved
159,124,Hardware,2023-12-01,2023-12-03 07:39:36,55.66,10074.85,Resolved
160,125,Power Supply,2025-05-31,2025-06-02 02:36:00,50.6,11642.58,Resolved
161,125,Software,2024-04-23,2024-04-24 01:51:00,25.85,2732.22,Resolved
162,125,Connector,2023-07-29,2023-07-29 04:22:48,4.38,11359.29,Resolved
163,127,Hardware,2025-09-01,2025-09-01 02:42:00,2.7,9004.07,Resolved
164,128,Power Supply,2024-07-26,2024-07-28 08:06:00,56.1,2526.35,Resolved
165,129,Connector,2023-09-04,2023-09-04 10:27:00,10.45,11333.24,Resolved
166,129,Software,2024-03-25,2024-03-26 18:54:36,42.91,3531.2,Resolved
167,130,Software,2023-10-21,2023-10-21 21:43:48,21.73,14698.82,Resolved
168,130,Connector,2025-12-19,2025-12-20 15:18:00,39.3,6499.62,Resolved
169,130,Hardware,2024-07-24,2024-07-25 15:55:12,39.92,4936.7,Resolved
170,133,Hardware,2023-11-13,2023-11-14 03:47:24,27.79,14213.56,Resolved
171,133,Hardware,2025-11-03,2025-11-05 05:31:48,53.53,5534.73,Resolved
172,134,Software,2023-11-15,2023-11-15 23:36:36,23.61,3670.6,Resolved
173,136,Hardware,2025-09-24,2025-09-25 19:52:48,43.88,4872.07,Resolved
174,136,Cooling System,2024-10-07,2024-10-09 08:18:36,56.31,5855.46,Resolved
175,136,Hardware,2023-10-22,2023-10-24 05:00:36,53.01,8427.53,Resolved
176,136,Connector,2025-10-20,2025-10-21 04:37:12,28.62,8036.65,Resolved
177,137,Power Supply,2023-07-12,2023-07-12 19:17:24,19.29,8289.0,Resolved
178,137,Connector,2025-10-27,2025-10-27 18:43:12,18.72,12717.09,Resolved
179,138,Cooling System,2025-10-28,2025-10-29 17:42:00,41.7,3821.41,Resolved
180,140,Power Supply,2023-06-21,2023-06-23 17:15:00,65.25,13683.1,Resolved
181,140,Hardware,2025-07-23,2025-07-24 11:00:00,35.0,5676.62,Resolved
182,141,Connector,2023-02-12,2023-02-12 15:48:00,15.8,10987.33,Resolved
183,141,Software,2023-02-11,2023-02-11 09:43:12,9.72,9822.77,Resolved
184,141,Connector,2024-09-13,2024-09-14 13:11:24,37.19,1344.2,Resolved
185,142,Hardware,2025-11-14,2025-11-16 18:49:12,66.82,9124.03,Resolved
186,143,Power Supply,2024-09-20,2024-09-21 00:19:12,24.32,5991.98,Resolved
187,144,Cooling System,2025-04-24,2025-04-25 06:44:24,30.74,5554.55,Resolved
188,147,Connector,2024-08-24,2024-08-24 05:01:12,5.02,3419.66,Resolved
189,147,Power Supply,2023-07-22,2023-07-23 12:58:12,36.97,1446.32,Resolved
190,148,Cooling System,2024-07-04,2024-07-06 06:58:12,54.97,13157.95,Resolved
191,149,Power Supply,2023-04-29,2023-05-01 13:06:00,61.1,12310.57,Resolved
192,149,Hardware,2023-01-05,2023-01-07 16:58:48,64.98,3488.78,Resolved
193,152,Cooling System,2023-05-11,2023-05-12 01:34:48,25.58,11114.98,Resolved
194,152,Cooling System,2025-03-16,2025-03-17 14:05:24,38.09,7606.79,Resolved
195,155,Software,2023-11-02,2023-11-03 02:36:00,26.6,13116.65,Resolved
196,156,Power Supply,2024-01-04,2024-01-06 15:44:24,63.74,4955.51,Resolved
197,157,Power Supply,2024-07-04,2024-07-05 11:49:48,35.83,9725.23,Resolved
198,157,Hardware,2024-04-03,2024-04-03 03:49:48,3.83,1959.63,Resolved
199,157,Connector,2025-09-26,2025-09-26 06:08:24,6.14,6966.25,Resolved
200,157,Hardware,2025-06-30,2025-07-02 16:02:24,64.04,14739.44,Resolved
201,158,Software,2024-04-22,2024-04-23 01:01:48,25.03,10593.74,Resolved
202,158,Connector,2024-03-11,2024-03-11 02:26:24,2.44,10530.43,Resolved
203,158,Cooling System,2025-02-25,2025-02-26 03:19:12,27.32,13800.1,Resolved
204,159,Cooling System,2023-04-24,2023-04-25 11:46:48,35.78,9525.98,Resolved
205,160,Software,2023-05-18,2023-05-19 02:27:36,26.46,10607.66,Resolved
206,160,Connector,2024-02-19,2024-02-21 18:24:36,66.41,7170.66,Resolved
207,160,Cooling System,2024-04-19,2024-04-19 12:57:00,12.95,4252.2,Resolved
208,160,Power Supply,2024-12-08,2024-12-09 07:52:12,31.87,11038.62,Resolved
209,161,Software,2025-10-25,2025-10-25 06:54:00,6.9,10915.05,Resolved
210,163,Software,2024-09-12,2024-09-13 14:22:48,38.38,13856.17,Resolved
211,163,Cooling System,2025-11-19,2025-11-19 08:08:24,8.14,5838.37,Resolved
212,164,Software,2025-03-05,2025-03-05 02:46:12,2.77,12951.23,Resolved
213,165,Software,2024-03-16,2024-03-16 13:51:36,13.86,551.27,Resolved
214,165,Software,2025-06-19,2025-06-21 12:03:36,60.06,14477.97,Resolved
215,166,Cooling System,2025-02-17,2025-02-19 15:47:24,63.79,12716.08,Resolved
216,167,Hardware,2023-08-02,2023-08-02 16:20:24,16.34,1584.59,Resolved
217,167,Power Supply,2025-12-08,2025-12-08 19:39:00,19.65,11282.93,Resolved
218,167,Hardware,2023-05-28,2023-05-29 21:37:48,45.63,7848.82,Resolved
219,167,Connector,2025-09-30,2025-10-02 16:58:12,64.97,2859.63,Resolved
220,169,Software,2024-01-24,2024-01-24 08:57:36,8.96,14917.7,Resolved
221,169,Connector,2023-06-07,2023-06-08 02:15:36,26.26,14059.48,Resolved
222,169,Software,2024-10-06,2024-10-08 03:26:24,51.44,14862.0,Resolved
223,171,Connector,2025-12-18,2025-12-20 03:24:36,51.41,3678.69,Resolved
224,171,Software,2024-02-08,2024-02-09 11:46:12,35.77,9402.93,Resolved
225,172,Power Supply,2024-09-12,2024-09-14 21:34:12,69.57,4102.35,Resolved
226,172,Connector,2025-04-27,2025-04-28 07:30:00,31.5,4969.25,Resolved
227,172,Hardware,2024-01-25,2024-01-26 05:03:36,29.06,6497.73,Resolved
228,173,Power Supply,2025-09-17,2025-09-18 01:01:48,25.03,10225.5,Resolved
229,173,Connector,2023-05-09,2023-05-10 13:41:24,37.69,6548.77,Resolved
230,175,Hardware,2023-03-20,2023-03-21 05:46:12,29.77,4671.3,Resolved
231,177,Cooling System,2024-03-07,2024-03-07 10:31:12,10.52,12905.68,Resolved
232,177,Connector,2025-12-05,2025-12-06 22:09:00,46.15,2074.37,Resolved
233,177,Power Supply,2023-07-09,2023-07-11 01:26:24,49.44,12041.17,Resolved
234,177,Cooling System,2023-11-01,2023-11-02 10:00:36,34.01,565.94,Resolved
235,178,Software,2025-10-15,2025-10-15 02:34:48,2.58,5417.18,Resolved
236,180,Cooling System,2024-06-09,2024-06-11 18:57:36,66.96,4872.82,Resolved
237,181,Power Supply,2025-01-02,2025-01-04 02:48:36,50.81,2544.21,Resolved
238,181,Hardware,2024-03-26,2024-03-26 09:34:12,9.57,3011.82,Resolved
239,181,Software,2024-06-04,2024-06-04 06:04:12,6.07,4653.92,Resolved
240,182,Power Supply,2023-08-09,2023-08-10 11:55:12,35.92,895.1,Resolved
241,183,Software,2023-07-02,2023-07-02 22:51:36,22.86,13604.78,Resolved
242,183,Cooling System,2023-02-23,2023-02-24 02:04:12,26.07,2495.93,Resolved
243,184,Software,2024-05-16,2024-05-16 07:10:48,7.18,10547.41,Resolved
244,185,Software,2025-05-09,2025-05-10 20:46:12,44.77,5367.28,Resolved
245,188,Power Supply,2025-08-31,2025-08-31 12:30:00,12.5,6789.54,Resolved
246,189,Connector,2024-12-12,2024-12-12 21:51:00,21.85,10804.63,Resolved
247,189,Connector,2025-06-27,2025-06-28 02:41:24,26.69,2780.72,Resolved
248,189,Software,2023-12-25,2023-12-27 18:11:24,66.19,9800.85,Resolved
249,189,Software,2024-12-17,2024-12-18 19:16:48,43.28,11641.51,Resolved
250,191,Hardware,2025-02-04,2025-02-06 14:22:12,62.37,3295.69,Resolved
251,195,Software,2024-06-12,2024-06-14 04:27:36,52.46,2541.97,Resolved
252,195,Software,2024-03-24,2024-03-24 21:51:00,21.85,5347.18,Resolved
253,197,Software,2023-11-08,2023-11-08 03:49:12,3.82,11624.55,Resolved
254,197,Cooling System,2023-05-13,2023-05-15 21:07:12,69.12,7241.57,Resolved
255,198,Hardware,2025-06-03,2025-06-04 05:51:36,29.86,2521.06,Resolved
256,199,Software,2024-06-01,2024-06-01 11:21:00,11.35,2276.17,Resolved
257,201,Software,2025-07-21,2025-07-21 14:33:36,14.56,9452.98,Resolved
258,202,Cooling System,2024-05-03,2024-05-04 08:03:00,32.05,11250.02,Resolved
259,202,Power Supply,2025-06-21,2025-06-23 13:28:12,61.47,11879.99,Resolved
260,205,Software,2025-05-12,2025-05-13 08:03:36,32.06,14180.08,Resolved
261,205,Connector,2024-05-20,2024-05-20 09:21:00,9.35,1194.06,Resolved
262,208,Hardware,2025-08-07,2025-08-09 01:34:12,49.57,1605.9,Resolved
263,208,Power Supply,2025-01-12,2025-01-12 03:55:48,3.93,4387.61,Resolved
264,209,Hardware,2023-08-20,2023-08-21 23:11:24,47.19,11459.11,Resolved
265,209,Power Supply,2024-05-27,2024-05-29 16:39:00,64.65,13874.78,Resolved
266,209,Cooling System,2024-04-30,2024-04-30 08:11:24,8.19,2889.36,Resolved
267,209,Software,2025-01-01,2025-01-01 22:55:12,22.92,6127.42,Resolved
268,210,Power Supply,2023-08-14,2023-08-15 16:42:36,40.71,6925.13,Resolved
269,212,Hardware,2024-06-11,2024-06-12 23:32:24,47.54,4622.95,Resolved
270,213,Hardware,2025-06-08,2025-06-09 02:40:12,26.67,2444.42,Resolved
271,214,Software,2023-01-20,2023-01-20 21:51:00,21.85,917.58,Resolved
272,216,Connector,2024-12-10,2024-12-11 04:25:12,28.42,5266.57,Resolved
273,216,Software,2024-07-25,2024-07-25 14:20:24,14.34,9023.04,Resolved
274,218,Hardware,2023-07-19,2023-07-20 20:14:24,44.24,10218.89,Resolved
275,218,Connector,2023-01-12,2023-01-13 01:06:36,25.11,2586.37,Resolved
276,225,Connector,2025-09-18,2025-09-18 13:00:36,13.01,10388.41,Resolved
277,226,Power Supply,2023-10-19,2023-10-21 10:52:48,58.88,4433.87,Resolved
278,226,Power Supply,2023-08-04,2023-08-06 12:54:36,60.91,6778.45,Resolved
279,226,Power Supply,2025-02-09,2025-02-09 15:31:12,15.52,8048.12,Resolved
280,227,Connector,2025-12-28,2025-12-28 04:10:48,4.18,4238.14,Resolved
281,231,Connector,2024-11-18,2024-11-19 14:46:48,38.78,4300.49,Resolved
282,231,Cooling System,2025-01-03,2025-01-03 10:06:00,10.1,4438.92,Resolved
283,233,Connector,2023-03-07,2023-03-09 10:33:36,58.56,11532.52,Resolved
284,234,Software,2024-12-12,2024-12-13 22:07:48,46.13,2890.99,Resolved
285,235,Cooling System,2024-05-19,2024-05-19 08:29:24,8.49,9390.89,Resolved
286,235,Hardware,2025-07-05,2025-07-06 03:47:24,27.79,8624.59,Resolved
287,240,Cooling System,2023-05-25,2023-05-27 03:06:00,51.1,5082.19,Resolved
288,240,Software,2024-01-12,2024-01-14 13:58:12,61.97,6599.57,Resolved
289,242,Hardware,2023-06-18,2023-06-20 16:22:48,64.38,10895.47,Resolved
290,242,Cooling System,2025-12-30,,60.04,7605.46,Open
291,242,Cooling System,2025-10-25,2025-10-26 11:07:48,35.13,1450.67,Resolved
292,243,Software,2024-01-27,2024-01-29 10:19:12,58.32,9863.35,Resolved
293,243,Connector,2025-01-08,2025-01-08 14:53:24,14.89,6810.21,Resolved
294,244,Power Supply,2025-07-19,2025-07-19 15:18:00,15.3,2556.96,Resolved
295,247,Hardware,2023-03-17,2023-03-17 02:30:00,2.5,7860.9,Resolved
296,247,Connector,2023-10-01,2023-10-02 16:13:12,40.22,1121.93,Resolved
297,247,Connector,2024-03-04,2024-03-06 17:18:00,65.3,7768.67,Resolved
298,249,Power Supply,2024-08-01,2024-08-02 19:31:12,43.52,12268.3,Resolved
299,249,Cooling System,2025-10-15,2025-10-16 12:31:48,36.53,2217.22,Resolved
300,249,Connector,2023-01-10,2023-01-12 22:16:48,70.28,4744.96,Resolved
301,250,Connector,2023-01-01,2023-01-01 17:17:24,17.29,6544.6,Resolved
302,252,Cooling System,2025-12-12,2025-12-13 12:40:12,36.67,10675.08,Resolved
303,253,Power Supply,2024-07-16,2024-07-16 07:33:00,7.55,2429.01,Resolved
304,253,Connector,2025-10-06,2025-10-08 02:58:48,50.98,13859.04,Resolved
305,254,Cooling System,2023-10-02,2023-10-03 11:40:48,35.68,14756.52,Resolved
306,255,Hardware,2024-08-10,2024-08-11 22:07:48,46.13,14367.96,Resolved
307,255,Cooling System,2024-02-26,2024-02-26 20:24:36,20.41,11815.24,Resolved
308,256,Cooling System,2024-08-16,2024-08-16 15:53:24,15.89,2624.95,Resolved
309,256,Software,2024-11-22,2024-11-23 04:01:12,28.02,10013.25,Resolved
310,256,Software,2025-10-30,2025-10-31 10:45:00,34.75,12125.94,Resolved
311,256,Connector,2024-12-18,2024-12-19 22:31:48,46.53,5476.07,Resolved
312,257,Hardware,2023-07-03,2023-07-03 06:13:48,6.23,12433.57,Resolved
313,260,Cooling System,2024-08-21,2024-08-22 04:58:12,28.97,4695.91,Resolved
314,262,Software,2025-11-11,2025-11-13 10:09:00,58.15,4010.01,Resolved
315,264,Connector,2024-10-25,2024-10-25 17:25:48,17.43,6068.88,Resolved
316,266,Hardware,2023-01-24,2023-01-24 23:30:36,23.51,3255.42,Resolved
317,267,Power Supply,2025-12-06,2025-12-06 03:49:48,3.83,4265.8,Resolved
318,267,Hardware,2023-06-30,2023-07-01 17:46:12,41.77,9909.64,Resolved
319,268,Hardware,2024-11-02,2024-11-02 02:45:00,2.75,4796.12,Resolved
320,268,Power Supply,2024-08-14,2024-08-16 18:21:36,66.36,3711.88,Resolved
321,270,Software,2025-01-11,2025-01-12 06:16:48,30.28,10670.21,Resolved
322,271,Cooling System,2023-11-06,2023-11-06 05:25:12,5.42,9262.25,Resolved
323,271,Connector,2024-09-04,2024-09-04 20:57:36,20.96,9843.18,Resolved
324,272,Power Supply,2023-07-22,2023-07-23 02:25:48,26.43,8550.2,Resolved
325,272,Power Supply,2025-10-26,2025-10-26 02:54:36,2.91,1854.49,Resolved
