subscription_id,customer_id,plan_name,start_date,end_date,monthly_fee,status
218,9013,Premium,2022-05-11,2023-08-21,499,Expired
219,352,Premium,2023-05-31,2024-04-11,499,Expired
220,14783,Basic,2022-07-20,2023-06-13,199,Expired
221,1531,Basic,2022-12-23,2024-12-05,199,Expired
222,13592,Fleet,2022-03-04,2024-01-11,999,Expired
223,15216,Basic,2022-08-16,2024-03-05,199,Expired
224,11541,Premium,2022-05-11,2024-02-17,499,Expired
225,219,Premium,2023-01-03,2024-11-08,499,Expired
226,6814,Basic,2022-06-23,2023-02-13,199,Expired
227,5358,Premium,2022-12-29,2024-08-03,499,Expired
228,15730,Premium,2022-06-10,2022-12-07,499,Expired
229,13044,Basic,2023-05-17,2023-11-27,199,Expired
230,1454,Basic,2022-09-05,2024-05-05,199,Expired
231,14933,Premium,2022-12-03,2023-06-14,499,Expired
232,4741,Fleet,2022-08-05,2023-06-22,999,Expired
233,2815,Premium,2022-09-07,2024-03-19,499,Expired
234,7887,Fleet,2022-09-09,2023-09-10,999,Expired
235,4974,Basic,2023-01-18,2024-03-20,199,Expired
236,1183,Premium,2022-08-21,2023-09-07,499,Expired
237,10036,Basic,2023-03-12,2024-05-30,199,Expired
238,3948,Basic,2023-01-23,2024-07-13,199,Cancelled
239,3190,Basic,2022-07-19,2023-08-17,199,Expired
240,14481,Premium,2022-02-20,2022-10-31,499,Expired
241,19827,Basic,2022-06-05,2023-08-13,199,Expired
242,9624,Fleet,2022-11-08,2024-10-03,999,Expired
243,1007,Premium,2023-01-15,2023-11-13,499,Cancelled
244,2326,Premium,2023-05-22,2025-05-15,499,Expired
245,10646,Basic,2022-11-25,2023-05-20,199,Cancelled
246,19524,Fleet,2022-05-30,2024-02-27,999,Expired
247,17726,Premium,2022-08-02,2023-06-16,499,Expired
248,5744,Basic,2022-09-26,2024-05-23,199,Expired
249,12681,Premium,2022-09-03,2022-12-26,499,Cancelled
250,14584,Premium,2022-08-06,2023-09-29,499,Expired
251,19258,Basic,2023-02-28,2024-10-05,199,Expired
252,11882,Fleet,2023-02-05,2024-07-29,999,Expired
253,1028,Basic,2022-05-29,2023-10-07,199,Expired
254,4070,Premium,2022-10-11,2024-08-10,499,Expired
255,18573,Premium,2023-05-22,2024-12-24,499,Expired
256,14653,Basic,2023-02-15,2024-12-09,199,Expired
257,6651,Basic,2022-09-23,2024-04-15,199,Expired
258,15784,Basic,2022-11-20,2023-12-26,199,Cancelled
259,17649,Premium,2023-01-11,2023-04-28,499,Expired
260,4623,Basic,2022-06-10,2023-03-13,199,Expired
261,10386,Premium,2022-05-24,2023-11-14,499,Expired
262,13671,Basic,2023-01-17,2024-05-26,199,Expired
263,14047,Basic,2022-06-11,2023-10-09,199,Cancelled
264,1963,Premium,2023-04-04,2024-07-23,499,Expired
265,19875,Basic,2022-10-20,2023-08-07,199,Expired
266,1600,Premium,2022-09-27,2023-04-05,499,Cancelled
267,9676,Basic,2022-07-24,2024-01-27,199,Expired
268,10953,Basic,2023-02-11,2024-09-11,199,Expired
269,4334,Basic,2022-10-05,2023-10-08,199,Cancelled
270,12100,Fleet,2022-10-19,2024-06-08,999,Expired
271,6956,Basic,2022-12-29,2024-01-08,199,Expired
272,18822,Basic,2022-06-04,2023-02-16,199,Expired
273,8546,Basic,2022-11-04,2024-07-05,199,Expired
274,15975,Basic,2022-09-23,2024-02-02,199,Expired
275,13723,Basic,2023-03-26,2024-04-01,199,Expired
276,696,Basic,2022-03-08,2022-08-24,199,Expired
277,15631,Premium,2022-06-27,2023-11-24,499,Expired
278,13590,Premium,2023-04-28,2024-03-20,499,Expired
279,14522,Basic,2022-09-03,2023-01-03,199,Expired
280,19918,Fleet,2022-03-11,2023-07-06,999,Cancelled
281,9771,Premium,2022-11-28,2024-08-31,499,Expired
282,13378,Basic,2022-06-28,2024-02-20,199,Expired
283,1035,Premium,2022-04-29,2022-12-02,499,Expired
284,10843,Basic,2022-12-26,2024-05-28,199,Expired
285,16593,Basic,2022-12-08,2024-04-04,199,Expired
286,10422,Basic,2023-03-06,2025-03-04,199,Expired
287,10980,Basic,2022-10-31,2023-05-30,199,Expired
288,2128,Basic,2022-03-14,2023-11-02,199,Expired
289,12188,Basic,2022-07-15,2023-11-05,199,Expired
290,5971,Premium,2022-03-29,2022-07-05,499,Expired
291,13226,Premium,2023-04-07,2025-03-05,499,Expired
292,994,Premium,2022-08-10,2024-04-13,499,Expired
293,15085,Basic,2022-04-27,2024-03-12,199,Expired
294,14846,Basic,2022-11-14,2023-05-03,199,Expired
295,14946,Basic,2022-04-18,2024-01-03,199,Expired
296,448,Premium,2022-07-27,2024-06-05,499,Expired
297,17278,Premium,2022-10-21,2024-05-15,499,Expired
298,5454,Basic,2023-01-17,2023-05-18,199,Expired
299,3212,Basic,2022-07-29,2023-04-27,199,Cancelled
300,5562,Basic,2022-09-22,2024-07-10,199,Expired
301,18912,Premium,2022-12-31,2023-12-30,499,Expired
302,3211,Premium,2023-03-15,2025-01-31,499,Expired
303,13814,Basic,2022-10-10,2023-07-04,199,Expired
304,8967,Basic,2022-07-12,2024-01-12,199,Expired
305,17654,Premium,2023-02-23,2024-12-02,499,Expired
306,10650,Basic,2022-04-07,2022-08-18,199,Expired
307,19715,Premium,2022-06-19,2024-06-01,499,Expired
308,3972,Basic,2022-12-17,2023-11-19,199,Expired
309,10808,Basic,2023-02-13,2025-01-07,199,Cancelled
310,19545,Basic,2022-08-14,2023-09-29,199,Expired
311,11367,Premium,2023-01-01,2024-07-06,499,Expired
312,3779,Basic,2022-11-27,2024-11-06,199,Expired
313,13080,Basic,2022-08-21,2024-08-17,199,Expired
314,6353,Basic,2023-03-14,2024-09-17,199,Expired
315,4008,Premium,2022-04-17,2023-01-08,499,Expired
316,3777,Premium,2023-02-11,2023-06-14,499,Expired
317,17148,Premium,2022-08-11,2024-03-08,499,Expired
318,14105,Premium,2023-03-08,2024-09-22,499,Expired
319,19146,Premium,2023-03-23,2024-05-20,499,Cancelled
320,19184,Premium,2022-07-11,2024-02-06,499,Expired
321,8427,Fleet,2022-04-11,2022-12-21,999,Expired
322,4338,Basic,2022-05-08,2022-12-30,199,Expired
323,8118,Premium,2022-10-27,2023-12-07,499,Expired
324,7764,Basic,2022-06-24,2024-02-28,199,Expired
325,14013,Fleet,2022-06-29,2024-06-17,999,Expired
326,13652,Premium,2022-03-19,2023-02-16,499,Expired
327,439,Premium,2023-02-05,2023-10-31,499,Expired
328,16534,Basic,2022-04-17,2023-05-25,199,Expired
329,3270,Premium,2022-07-10,2023-04-12,499,Cancelled
330,3753,Fleet,2022-12-27,2024-05-06,999,Expired
331,9114,Premium,2022-11-26,2024-02-13,499,Expired
332,9441,Basic,2022-07-10,2022-12-28,199,Expired
333,1740,Basic,2022-05-16,2023-12-21,199,Expired
334,607,Premium,2022-12-21,2024-12-05,499,Expired
335,17086,Basic,2023-04-21,2025-01-31,199,Expired
336,12999,Premium,2022-10-10,2024-07-28,499,Expired
337,16973,Basic,2023-01-11,2024-03-09,199,Cancelled
338,18367,Basic,2022-07-25,2023-02-27,199,Expired
339,15684,Basic,2023-01-04,2023-09-28,199,Expired
340,11038,Fleet,2022-12-05,2024-06-16,999,Expired
341,5747,Basic,2022-05-09,2023-11-28,199,Expired
342,11585,Fleet,2022-08-03,2024-07-28,999,Expired
343,6271,Premium,2022-10-29,2024-07-30,499,Expired
344,8852,Premium,2022-10-03,2024-09-24,499,Expired
345,18409,Premium,2023-01-05,2024-12-21,499,Expired
346,6601,Premium,2023-02-03,2024-09-18,499,Expired
347,11379,Basic,2022-10-06,2024-02-16,199,Expired
348,17190,Fleet,2023-05-17,2024-08-14,999,Expired
349,11606,Basic,2022-12-06,2024-11-05,199,Cancelled
350,6910,Premium,2023-05-11,2024-09-20,499,Expired
351,739,Basic,2022-02-06,2022-11-01,199,Expired
352,1995,Premium,2022-08-21,2024-07-11,499,Cancelled
353,120,Basic,2022-01-05,2022-09-28,199,Expired
354,14927,Basic,2022-09-07,2022-12-07,199,Expired
355,17610,Premium,2022-06-06,2023-03-09,499,Expired
356,17437,Basic,2022-12-07,2024-01-18,199,Expired
357,18554,Basic,2022-04-24,2023-09-11,199,Cancelled
358,7294,Basic,2022-08-21,2024-08-16,199,Expired
359,3406,Basic,2023-01-12,2024-01-06,199,Cancelled
360,10538,Basic,2022-10-15,2024-05-28,199,Expired
361,18467,Basic,2023-05-22,2024-09-17,199,Expired
362,8627,Premium,2022-09-07,2023-12-26,499,Expired
363,3482,Basic,2023-04-21,2024-08-20,199,Expired
364,17819,Fleet,2023-01-14,2024-02-23,999,Expired
365,128,Basic,2022-08-13,2023-10-17,199,Expired
366,13427,Basic,2023-02-28,2024-06-22,199,Expired
367,10611,Basic,2022-09-02,2024-07-05,199,Expired
368,15274,Premium,2022-05-08,2024-03-27,499,Expired
369,19581,Basic,2022-11-07,2023-02-10,199,Expired
370,19286,Basic,2022-10-23,2023-02-17,199,Expired
371,12823,Basic,2022-03-23,2023-02-20,199,Expired
372,3074,Basic,2023-02-06,2024-02-13,199,Expired
373,2381,Basic,2022-11-09,2023-07-24,199,Expired
374,2484,Basic,2022-04-24,2023-08-25,199,Expired
375,3462,Basic,2023-02-14,2024-08-21,199,Expired
376,15232,Premium,2023-02-18,2023-07-07,499,Expired
377,7459,Basic,2023-03-04,2024-03-10,199,Expired
378,15885,Basic,2022-10-22,2023-11-08,199,Expired
379,6886,Premium,2022-10-11,2023-06-14,499,Cancelled
380,15098,Premium,2022-11-25,2023-05-11,499,Expired
381,18685,Basic,2022-07-10,2023-01-24,199,Expired
382,14971,Basic,2022-05-06,2023-01-06,199,Expired
383,804,Basic,2022-10-20,2023-04-15,199,Expired
384,475,Premium,2023-01-03,2023-12-19,499,Expired
385,8609,Basic,2023-01-13,2023-10-06,199,Expired
386,6483,Basic,2023-03-09,2023-07-29,199,Expired
387,18288,Premium,2022-05-11,2023-03-11,499,Expired
388,5558,Basic,2023-04-10,2025-02-27,199,Expired
389,13949,Basic,2023-01-04,2024-06-05,199,Expired
390,8892,Fleet,2023-02-05,2023-05-11,999,Expired
391,12522,Basic,2023-05-18,2024-04-16,199,Expired
392,4449,Basic,2022-03-19,2023-01-06,199,Expired
393,485,Basic,2023-01-09,2024-01-31,199,Expired
394,10423,Basic,2023-05-30,2024-09-11,199,Expired
395,19412,Premium,2023-03-28,2024-01-07,499,Expired
396,14901,Basic,2022-08-25,2024-01-17,199,Cancelled
397,11227,Basic,2023-02-21,2024-01-17,199,Expired
398,19133,Basic,2022-06-13,2023-06-26,199,Expired
399,7921,Premium,2023-01-14,2023-06-12,499,Expired
400,7912,Basic,2022-08-15,2023-11-26,199,Expired
401,2767,Fleet,2023-05-20,2024-03-06,999,Cancelled
402,14866,Basic,2022-03-29,2022-10-01,199,Expired
403,16507,Fleet,2023-05-14,2024-06-02,999,Expired
404,11689,Basic,2022-10-28,2023-10-17,199,Expired
405,4038,Basic,2023-03-14,2024-06-22,199,Cancelled
406,857,Premium,2022-09-09,2023-08-29,499,Expired
407,16137,Basic,2022-10-08,2023-11-27,199,Expired
408,8831,Basic,2022-05-01,2024-01-04,199,Expired
409,8804,Fleet,2022-05-23,2024-03-21,999,Cancelled
410,11839,Premium,2022-10-27,2024-09-21,499,Expired
411,3827,Basic,2022-11-17,2024-03-24,199,Expired
412,18128,Premium,2023-01-15,2023-11-11,499,Expired
413,5996,Basic,2022-11-18,2024-05-21,199,Expired
414,504,Basic,2023-04-09,2024-05-13,199,Expired
415,2960,Basic,2023-02-23,2024-01-12,199,Expired
416,7989,Premium,2022-07-03,2023-12-17,499,Expired
417,9641,Premium,2022-04-28,2024-04-24,499,Expired
418,8110,Basic,2022-11-27,2024-09-22,199,Cancelled
419,5383,Premium,2022-09-10,2023-11-13,499,Expired
420,13952,Basic,2022-12-02,2024-03-16,199,Expired
421,13139,Premium,2022-08-29,2024-04-19,499,Expired
422,17988,Basic,2022-10-07,2024-03-10,199,Expired
423,13436,Basic,2023-04-04,2024-05-03,199,Expired
424,7726,Basic,2022-04-24,2023-03-07,199,Cancelled
425,12034,Basic,2022-05-25,2023-12-05,199,Expired
426,8130,Fleet,2022-11-08,2023-10-17,999,Expired
427,12788,Basic,2022-05-26,2024-02-08,199,Expired
428,8293,Basic,2023-01-08,2024-11-13,199,Cancelled
429,18322,Basic,2022-10-28,2023-03-30,199,Expired
430,13061,Basic,2022-05-01,2023-04-08,199,Expired
431,3296,Premium,2022-11-22,2024-04-03,499,Cancelled
432,8958,Fleet,2023-02-09,2025-02-07,999,Cancelled
433,116,Fleet,2023-03-17,2023-08-31,999,Expired
434,5648,Basic,2023-01-07,2024-12-21,199,Expired
435,12625,Basic,2022-10-23,2023-05-05,199,Expired
436,14748,Premium,2022-06-02,2022-11-15,499,Expired
437,7182,Premium,2022-04-24,2024-04-15,499,Expired
438,1711,Premium,2023-04-27,2024-07-11,499,Expired
439,15958,Basic,2022-10-10,2023-07-08,199,Expired
440,5818,Basic,2022-06-19,2024-04-21,199,Expired
441,15279,Premium,2022-10-31,2024-04-29,499,Expired
442,2481,Premium,2023-02-02,2023-08-26,499,Cancelled
443,10251,Basic,2023-01-14,2024-10-21,199,Expired
444,4033,Basic,2023-01-21,2024-12-04,199,Expired
445,13348,Basic,2023-04-28,2024-07-15,199,Expired
446,16531,Premium,2023-03-31,2025-03-20,499,Expired
447,9515,Basic,2022-05-10,2023-06-04,199,Expired
448,4611,Basic,2023-01-08,2024-05-20,199,Expired
449,5118,Basic,2022-09-06,2023-08-17,199,Expired
450,16947,Basic,2023-04-02,2024-03-09,199,Expired
451,6386,Fleet,2023-02-02,2025-01-16,999,Expired
452,15140,Basic,2022-05-11,2023-08-03,199,Expired
453,6272,Basic,2022-08-22,2024-06-15,199,Expired
454,342,Basic,2022-07-09,2023-11-05,199,Expired
455,829,Premium,2023-02-20,2023-12-01,499,Expired
456,12530,Fleet,2023-01-30,2024-04-08,999,Cancelled
457,11552,Premium,2022-07-04,2023-04-14,499,Expired
458,9528,Basic,2022-05-14,2022-11-26,199,Expired
459,11837,Basic,2023-01-18,2024-06-15,199,Expired
460,314,Premium,2022-06-27,2024-03-31,499,Cancelled
461,11698,Basic,2022-09-12,2023-08-19,199,Expired
462,10052,Premium,2022-02-02,2023-02-11,499,Expired
463,12864,Premium,2023-05-07,2024-01-29,499,Cancelled
464,16071,Fleet,2022-08-22,2023-12-13,999,Expired
465,17137,Premium,2023-03-04,2024-05-03,499,Expired
466,18262,Basic,2022-10-04,2023-06-16,199,Expired
467,4910,Basic,2022-04-15,2022-11-20,199,Expired
468,17797,Basic,2022-01-11,2023-11-07,199,Expired
469,8874,Premium,2022-09-23,2023-01-16,499,Expired
470,18286,Basic,2022-09-28,2023-09-06,199,Cancelled
471,410,Premium,2022-03-26,2023-04-17,499,Expired
472,3796,Premium,2023-03-14,2023-07-16,499,Expired
473,2704,Basic,2022-04-16,2023-06-10,199,Expired
474,10343,Basic,2022-10-15,2023-06-04,199,Expired
475,4982,Premium,2022-11-15,2023-05-15,499,Expired
