vehicle_id,customer_id,vehicle_model,vehicle_type,battery_capacity_kwh,purchase_year
112,108,Tata Tiago EV,Hatchback,24.0,2024
113,109,Kia EV6,SUV,77.4,2022
114,110,MG ZS EV,SUV,50.3,2020
115,111,BYD Atto 3,SUV,60.5,2021
116,112,Mahindra BE 6,SUV,59.0,2023
117,113,Mahindra BE 6,SUV,59.0,2020
118,114,Kia EV6,SUV,77.4,2023
119,115,BYD Atto 3,SUV,60.5,2022
120,116,Tata Nexon EV,SUV,30.2,2020
121,117,Tata Nexon EV,SUV,30.2,2021
122,118,MG ZS EV,SUV,50.3,2022
123,118,Tata Punch EV,Hatchback,35.0,2025
124,119,Kia EV6,SUV,77.4,2021
125,120,MG ZS EV,SUV,50.3,2024
126,121,Mahindra BE 6,SUV,59.0,2023
127,122,Tata Tiago EV,Hatchback,24.0,2022
128,123,Hyundai Ioniq 5,SUV,72.6,2022
129,124,Hyundai Kona Electric,SUV,39.2,2024
130,125,Tata Nexon EV,SUV,30.2,2022
131,126,Tata Punch EV,Hatchback,35.0,2023
132,127,Hyundai Ioniq 5,SUV,72.6,2020
133,128,Hyundai Kona Electric,SUV,39.2,2021
134,129,BYD Atto 3,SUV,60.5,2025
135,130,MG ZS EV,SUV,50.3,2020
136,131,BYD Atto 3,SUV,60.5,2023
137,132,Kia EV6,SUV,77.4,2023
138,133,Kia EV6,SUV,77.4,2022
139,134,Mahindra XUV400,SUV,39.4,2020
140,135,Tata Nexon EV,SUV,30.2,2023
141,136,Kia EV6,SUV,77.4,2023
142,137,Mahindra BE 6,SUV,59.0,2022
143,138,Hyundai Ioniq 5,SUV,72.6,2020
144,139,Kia EV6,SUV,77.4,2020
145,140,Mahindra XUV400,SUV,39.4,2023
146,141,Tata Punch EV,Hatchback,35.0,2023
147,142,Mahindra XUV400,SUV,39.4,2024
148,143,Hyundai Ioniq 5,SUV,72.6,2024
149,144,Mahindra XUV400,SUV,39.4,2025
150,145,Mahindra XUV400,SUV,39.4,2020
151,146,Tata Punch EV,Hatchback,35.0,2023
152,147,MG ZS EV,SUV,50.3,2021
153,148,Hyundai Kona Electric,SUV,39.2,2024
154,148,Mahindra BE 6,SUV,59.0,2021
155,149,Hyundai Kona Electric,SUV,39.2,2025
156,150,Mahindra XUV400,SUV,39.4,2024
157,151,Hyundai Kona Electric,SUV,39.2,2020
158,152,Hyundai Kona Electric,SUV,39.2,2025
159,153,Tata Nexon EV,SUV,30.2,2023
160,154,Tata Punch EV,Hatchback,35.0,2024
161,155,Mahindra BE 6,SUV,59.0,2021
162,156,BYD Atto 3,SUV,60.5,2021
163,157,Tata Punch EV,Hatchback,35.0,2023
164,158,Tata Punch EV,Hatchback,35.0,2025
165,159,Hyundai Ioniq 5,SUV,72.6,2020
166,159,Mahindra BE 6,SUV,59.0,2025
167,160,Hyundai Kona Electric,SUV,39.2,2021
168,161,Tata Tiago EV,Hatchback,24.0,2022
169,162,Mahindra BE 6,SUV,59.0,2024
170,163,Mahindra BE 6,SUV,59.0,2020
171,164,Tata Nexon EV,SUV,30.2,2020
172,165,Tata Nexon EV,SUV,30.2,2023
173,166,Tata Punch EV,Hatchback,35.0,2025
174,167,Mahindra BE 6,SUV,59.0,2025
175,168,Tata Punch EV,Hatchback,35.0,2022
176,169,Mahindra BE 6,SUV,59.0,2022
177,170,BYD Atto 3,SUV,60.5,2022
178,171,BYD Atto 3,SUV,60.5,2020
179,172,Mahindra XUV400,SUV,39.4,2022
180,173,Hyundai Kona Electric,SUV,39.2,2020
181,174,BYD Atto 3,SUV,60.5,2020
182,175,Mahindra XUV400,SUV,39.4,2021
183,176,Mahindra BE 6,SUV,59.0,2023
184,177,Tata Punch EV,Hatchback,35.0,2023
185,178,Kia EV6,SUV,77.4,2020
186,178,MG ZS EV,SUV,50.3,2020
187,179,Mahindra BE 6,SUV,59.0,2025
188,180,Mahindra XUV400,SUV,39.4,2022
189,181,Mahindra XUV400,SUV,39.4,2024
190,182,Tata Punch EV,Hatchback,35.0,2021
191,183,Tata Tiago EV,Hatchback,24.0,2021
192,184,Kia EV6,SUV,77.4,2020
193,185,Mahindra XUV400,SUV,39.4,2022
194,186,Mahindra XUV400,SUV,39.4,2020
195,187,Tata Tiago EV,Hatchback,24.0,2020
196,188,Hyundai Ioniq 5,SUV,72.6,2025
197,188,MG ZS EV,SUV,50.3,2025
198,189,Hyundai Ioniq 5,SUV,72.6,2023
199,190,Tata Punch EV,Hatchback,35.0,2023
200,191,Mahindra XUV400,SUV,39.4,2022
201,192,Kia EV6,SUV,77.4,2025
202,193,MG ZS EV,SUV,50.3,2025
203,194,Tata Nexon EV,SUV,30.2,2022
204,195,BYD Atto 3,SUV,60.5,2022
205,196,Hyundai Kona Electric,SUV,39.2,2023
206,197,BYD Atto 3,SUV,60.5,2021
207,198,Tata Tiago EV,Hatchback,24.0,2021
208,199,Hyundai Kona Electric,SUV,39.2,2020
209,200,MG ZS EV,SUV,50.3,2023
210,201,Kia EV6,SUV,77.4,2021
211,202,Mahindra XUV400,SUV,39.4,2024
212,202,Kia EV6,SUV,77.4,2024
213,203,Mahindra XUV400,SUV,39.4,2023
214,204,MG ZS EV,SUV,50.3,2021
215,205,Hyundai Ioniq 5,SUV,72.6,2025
216,206,Mahindra BE 6,SUV,59.0,2025
217,207,Tata Punch EV,Hatchback,35.0,2023
218,208,Hyundai Ioniq 5,SUV,72.6,2020
219,209,Mahindra XUV400,SUV,39.4,2021
220,210,Hyundai Kona Electric,SUV,39.2,2022
221,211,BYD Atto 3,SUV,60.5,2022
222,212,Tata Tiago EV,Hatchback,24.0,2022
223,213,Kia EV6,SUV,77.4,2023
224,214,Mahindra XUV400,SUV,39.4,2025
225,215,BYD Atto 3,SUV,60.5,2025
226,216,Tata Tiago EV,Hatchback,24.0,2022
227,217,Mahindra XUV400,SUV,39.4,2023
228,218,Hyundai Kona Electric,SUV,39.2,2025
229,219,Hyundai Ioniq 5,SUV,72.6,2020
230,220,Mahindra XUV400,SUV,39.4,2024
231,221,Mahindra XUV400,SUV,39.4,2025
232,221,BYD Atto 3,SUV,60.5,2023
233,222,Tata Tiago EV,Hatchback,24.0,2021
234,223,Tata Punch EV,Hatchback,35.0,2025
235,224,Tata Punch EV,Hatchback,35.0,2024
236,225,Kia EV6,SUV,77.4,2023
237,226,Hyundai Ioniq 5,SUV,72.6,2020
238,227,Mahindra BE 6,SUV,59.0,2023
239,227,Hyundai Ioniq 5,SUV,72.6,2025
240,228,Mahindra BE 6,SUV,59.0,2024
241,229,Mahindra BE 6,SUV,59.0,2020
242,230,Tata Nexon EV,SUV,30.2,2020
243,231,Tata Punch EV,Hatchback,35.0,2020
244,232,Tata Nexon EV,SUV,30.2,2022
245,233,Hyundai Ioniq 5,SUV,72.6,2024
246,234,Mahindra XUV400,SUV,39.4,2025
247,235,Tata Punch EV,Hatchback,35.0,2021
248,236,Kia EV6,SUV,77.4,2024
249,237,Tata Nexon EV,SUV,30.2,2024
250,238,Kia EV6,SUV,77.4,2024
251,239,Tata Nexon EV,SUV,30.2,2024
252,240,Hyundai Kona Electric,SUV,39.2,2022
253,240,BYD Atto 3,SUV,60.5,2021
254,241,Mahindra XUV400,SUV,39.4,2023
255,242,Tata Punch EV,Hatchback,35.0,2021
256,243,Mahindra BE 6,SUV,59.0,2021
257,244,BYD Atto 3,SUV,60.5,2021
258,245,BYD Atto 3,SUV,60.5,2025
259,246,Tata Nexon EV,SUV,30.2,2021
260,247,Kia EV6,SUV,77.4,2022
261,248,Tata Tiago EV,Hatchback,24.0,2023
262,249,MG ZS EV,SUV,50.3,2025
263,250,Tata Tiago EV,Hatchback,24.0,2020
264,251,Tata Nexon EV,SUV,30.2,2025
265,252,Tata Punch EV,Hatchback,35.0,2021
266,253,Hyundai Ioniq 5,SUV,72.6,2020
267,254,Mahindra XUV400,SUV,39.4,2025
268,255,Mahindra XUV400,SUV,39.4,2020
269,256,Mahindra XUV400,SUV,39.4,2024
270,257,Mahindra XUV400,SUV,39.4,2022
271,258,MG ZS EV,SUV,50.3,2023
272,259,MG ZS EV,SUV,50.3,2022
273,260,Tata Nexon EV,SUV,30.2,2025
274,261,Kia EV6,SUV,77.4,2022
275,262,Hyundai Ioniq 5,SUV,72.6,2024
276,263,Hyundai Kona Electric,SUV,39.2,2023
277,264,Mahindra XUV400,SUV,39.4,2021
278,265,Mahindra XUV400,SUV,39.4,2023
279,266,Tata Nexon EV,SUV,30.2,2023
280,267,Tata Punch EV,Hatchback,35.0,2020
281,268,Mahindra BE 6,SUV,59.0,2025
282,269,BYD Atto 3,SUV,60.5,2020
283,270,Hyundai Kona Electric,SUV,39.2,2025
284,271,Tata Punch EV,Hatchback,35.0,2025
285,272,Kia EV6,SUV,77.4,2025
286,273,Tata Nexon EV,SUV,30.2,2021
287,274,Kia EV6,SUV,77.4,2024
288,275,BYD Atto 3,SUV,60.5,2024
289,276,Kia EV6,SUV,77.4,2024
290,277,Tata Tiago EV,Hatchback,24.0,2023
291,278,Tata Nexon EV,SUV,30.2,2021
292,279,Hyundai Kona Electric,SUV,39.2,2024
293,279,Mahindra XUV400,SUV,39.4,2025
294,280,Mahindra BE 6,SUV,59.0,2023
295,281,Hyundai Ioniq 5,SUV,72.6,2021
296,282,Kia EV6,SUV,77.4,2023
297,283,Kia EV6,SUV,77.4,2021
298,284,Kia EV6,SUV,77.4,2021
299,285,Hyundai Ioniq 5,SUV,72.6,2023
300,286,Tata Tiago EV,Hatchback,24.0,2024
301,287,Mahindra BE 6,SUV,59.0,2020
302,288,Mahindra XUV400,SUV,39.4,2020
303,289,Mahindra XUV400,SUV,39.4,2024
304,290,Tata Nexon EV,SUV,30.2,2023
305,291,Kia EV6,SUV,77.4,2022
306,292,MG ZS EV,SUV,50.3,2021
307,292,MG ZS EV,SUV,50.3,2021
308,293,Hyundai Kona Electric,SUV,39.2,2023
309,294,Mahindra XUV400,SUV,39.4,2024
310,295,Mahindra XUV400,SUV,39.4,2025
311,296,MG ZS EV,SUV,50.3,2023
312,297,Tata Tiago EV,Hatchback,24.0,2024
313,298,Mahindra BE 6,SUV,59.0,2023
314,299,Mahindra XUV400,SUV,39.4,2020
315,300,Hyundai Kona Electric,SUV,39.2,2020
316,301,Mahindra BE 6,SUV,59.0,2024
317,302,Hyundai Kona Electric,SUV,39.2,2024
318,303,Mahindra BE 6,SUV,59.0,2022
319,304,Hyundai Kona Electric,SUV,39.2,2023
320,305,BYD Atto 3,SUV,60.5,2023
321,306,BYD Atto 3,SUV,60.5,2024
322,307,Tata Punch EV,Hatchback,35.0,2022
323,308,Hyundai Kona Electric,SUV,39.2,2025
324,309,Mahindra XUV400,SUV,39.4,2025
325,309,Tata Nexon EV,SUV,30.2,2024
326,310,Tata Punch EV,Hatchback,35.0,2024
327,311,Tata Punch EV,Hatchback,35.0,2020
328,312,Tata Nexon EV,SUV,30.2,2025
329,313,Hyundai Kona Electric,SUV,39.2,2020
330,314,Mahindra XUV400,SUV,39.4,2025
331,315,Hyundai Ioniq 5,SUV,72.6,2025
332,316,MG ZS EV,SUV,50.3,2023
333,317,Hyundai Kona Electric,SUV,39.2,2025
334,317,Tata Nexon EV,SUV,30.2,2024
335,318,Mahindra BE 6,SUV,59.0,2022
336,319,Hyundai Ioniq 5,SUV,72.6,2020
337,319,Hyundai Kona Electric,SUV,39.2,2024
338,320,MG ZS EV,SUV,50.3,2025
339,321,Tata Punch EV,Hatchback,35.0,2020
340,322,Tata Nexon EV,SUV,30.2,2025
341,323,Mahindra BE 6,SUV,59.0,2023
342,323,Tata Nexon EV,SUV,30.2,2022
343,324,Kia EV6,SUV,77.4,2020
344,325,Mahindra BE 6,SUV,59.0,2023
345,326,Tata Tiago EV,Hatchback,24.0,2024
346,327,Kia EV6,SUV,77.4,2025
347,328,Mahindra XUV400,SUV,39.4,2020
348,329,Tata Tiago EV,Hatchback,24.0,2021
349,330,Kia EV6,SUV,77.4,2024
350,331,BYD Atto 3,SUV,60.5,2020
351,332,Tata Nexon EV,SUV,30.2,2025
352,333,Tata Nexon EV,SUV,30.2,2023
353,334,Tata Tiago EV,Hatchback,24.0,2022
354,335,MG ZS EV,SUV,50.3,2020
355,336,Tata Tiago EV,Hatchback,24.0,2025
356,337,Tata Nexon EV,SUV,30.2,2022
357,338,MG ZS EV,SUV,50.3,2023
358,339,BYD Atto 3,SUV,60.5,2021
359,340,BYD Atto 3,SUV,60.5,2024
360,341,Mahindra XUV400,SUV,39.4,2023
361,342,BYD Atto 3,SUV,60.5,2025
362,343,Hyundai Kona Electric,SUV,39.2,2024
363,344,Mahindra BE 6,SUV,59.0,2020
364,345,Tata Tiago EV,Hatchback,24.0,2023
365,346,Kia EV6,SUV,77.4,2024
366,347,Tata Tiago EV,Hatchback,24.0,2020
367,348,BYD Atto 3,SUV,60.5,2022
368,348,Mahindra XUV400,SUV,39.4,2025
369,349,Mahindra BE 6,SUV,59.0,2024
370,350,BYD Atto 3,SUV,60.5,2023
371,351,Hyundai Kona Electric,SUV,39.2,2023
372,352,Hyundai Ioniq 5,SUV,72.6,2020
373,353,Tata Tiago EV,Hatchback,24.0,2021
374,354,MG ZS EV,SUV,50.3,2022
375,355,Tata Punch EV,Hatchback,35.0,2023
376,356,MG ZS EV,SUV,50.3,2025
377,357,Tata Punch EV,Hatchback,35.0,2023
378,358,MG ZS EV,SUV,50.3,2025
379,359,Mahindra BE 6,SUV,59.0,2020
380,360,BYD Atto 3,SUV,60.5,2023
381,361,Tata Punch EV,Hatchback,35.0,2021
382,362,Hyundai Kona Electric,SUV,39.2,2025
383,363,Hyundai Ioniq 5,SUV,72.6,2020
384,364,Tata Punch EV,Hatchback,35.0,2021
385,365,Kia EV6,SUV,77.4,2021
386,366,Tata Nexon EV,SUV,30.2,2020
387,367,Hyundai Ioniq 5,SUV,72.6,2025
388,368,Tata Punch EV,Hatchback,35.0,2023
389,369,Tata Nexon EV,SUV,30.2,2022
390,370,Hyundai Ioniq 5,SUV,72.6,2023
391,371,MG ZS EV,SUV,50.3,2024
392,372,Mahindra XUV400,SUV,39.4,2021
393,373,Mahindra BE 6,SUV,59.0,2023
394,374,Tata Punch EV,Hatchback,35.0,2021
395,375,Kia EV6,SUV,77.4,2021
396,376,Kia EV6,SUV,77.4,2021
397,377,Mahindra BE 6,SUV,59.0,2021
398,378,Tata Nexon EV,SUV,30.2,2023
399,379,Tata Punch EV,Hatchback,35.0,2022
400,380,BYD Atto 3,SUV,60.5,2023
401,381,Hyundai Kona Electric,SUV,39.2,2025
402,382,Tata Nexon EV,SUV,30.2,2025
403,383,Mahindra BE 6,SUV,59.0,2023
404,384,Mahindra BE 6,SUV,59.0,2021
405,385,Kia EV6,SUV,77.4,2024
406,386,Tata Nexon EV,SUV,30.2,2025
407,387,Hyundai Ioniq 5,SUV,72.6,2021
408,388,BYD Atto 3,SUV,60.5,2023
409,389,Hyundai Ioniq 5,SUV,72.6,2020
410,390,Mahindra XUV400,SUV,39.4,2022
411,391,Tata Punch EV,Hatchback,35.0,2022
412,392,Tata Tiago EV,Hatchback,24.0,2025
413,393,Kia EV6,SUV,77.4,2023
414,394,MG ZS EV,SUV,50.3,2021
415,395,Hyundai Kona Electric,SUV,39.2,2024
416,396,Mahindra BE 6,SUV,59.0,2024
417,396,Tata Tiago EV,Hatchback,24.0,2021
418,397,MG ZS EV,SUV,50.3,2020
419,398,Kia EV6,SUV,77.4,2021
420,399,Hyundai Ioniq 5,SUV,72.6,2023
421,400,MG ZS EV,SUV,50.3,2023
422,401,Hyundai Ioniq 5,SUV,72.6,2022
423,402,Mahindra XUV400,SUV,39.4,2020
424,403,MG ZS EV,SUV,50.3,2025
425,404,Mahindra XUV400,SUV,39.4,2020
426,405,Tata Tiago EV,Hatchback,24.0,2020
427,406,BYD Atto 3,SUV,60.5,2024
428,407,Tata Tiago EV,Hatchback,24.0,2022
429,408,Tata Nexon EV,SUV,30.2,2025
430,409,Hyundai Ioniq 5,SUV,72.6,2022
431,410,Tata Tiago EV,Hatchback,24.0,2021
432,411,Hyundai Kona Electric,SUV,39.2,2025
433,412,BYD Atto 3,SUV,60.5,2024
434,413,Tata Nexon EV,SUV,30.2,2020
435,414,BYD Atto 3,SUV,60.5,2021
436,415,Mahindra XUV400,SUV,39.4,2023
437,416,Tata Tiago EV,Hatchback,24.0,2022
438,417,Mahindra BE 6,SUV,59.0,2021
439,418,Hyundai Kona Electric,SUV,39.2,2022
440,419,Hyundai Ioniq 5,SUV,72.6,2024
441,420,Tata Tiago EV,Hatchback,24.0,2020
442,421,Tata Tiago EV,Hatchback,24.0,2023
443,422,Mahindra BE 6,SUV,59.0,2025
444,423,MG ZS EV,SUV,50.3,2020
445,424,Tata Nexon EV,SUV,30.2,2022
446,425,Kia EV6,SUV,77.4,2025
447,426,Mahindra BE 6,SUV,59.0,2023
448,426,Hyundai Ioniq 5,SUV,72.6,2021
449,427,Hyundai Ioniq 5,SUV,72.6,2023
450,428,Mahindra XUV400,SUV,39.4,2021
451,429,BYD Atto 3,SUV,60.5,2020
452,430,MG ZS EV,SUV,50.3,2025
453,431,Tata Punch EV,Hatchback,35.0,2025
454,431,Hyundai Kona Electric,SUV,39.2,2022
455,432,Mahindra BE 6,SUV,59.0,2023
456,433,Mahindra XUV400,SUV,39.4,2021
457,434,Hyundai Kona Electric,SUV,39.2,2023
458,435,BYD Atto 3,SUV,60.5,2024
459,436,Kia EV6,SUV,77.4,2020
460,437,MG ZS EV,SUV,50.3,2023
461,438,Tata Punch EV,Hatchback,35.0,2023
462,439,Mahindra XUV400,SUV,39.4,2024
463,440,BYD Atto 3,SUV,60.5,2024
464,441,Hyundai Ioniq 5,SUV,72.6,2020
465,442,Mahindra XUV400,SUV,39.4,2025
466,443,BYD Atto 3,SUV,60.5,2025
467,444,Hyundai Ioniq 5,SUV,72.6,2024
468,445,Tata Tiago EV,Hatchback,24.0,2025
469,446,Hyundai Ioniq 5,SUV,72.6,2022
470,447,BYD Atto 3,SUV,60.5,2025
471,448,MG ZS EV,SUV,50.3,2021
472,449,Kia EV6,SUV,77.4,2022
473,450,Mahindra XUV400,SUV,39.4,2024
474,451,BYD Atto 3,SUV,60.5,2024
475,452,Tata Nexon EV,SUV,30.2,2020
476,453,MG ZS EV,SUV,50.3,2022
477,454,Mahindra BE 6,SUV,59.0,2024
478,455,Mahindra BE 6,SUV,59.0,2025
479,456,BYD Atto 3,SUV,60.5,2025
480,457,Mahindra BE 6,SUV,59.0,2023
481,457,Tata Tiago EV,Hatchback,24.0,2022
482,458,Mahindra BE 6,SUV,59.0,2024
483,459,Mahindra XUV400,SUV,39.4,2021
484,460,Kia EV6,SUV,77.4,2022
485,460,Hyundai Kona Electric,SUV,39.2,2020
486,461,Hyundai Ioniq 5,SUV,72.6,2022
487,462,Tata Punch EV,Hatchback,35.0,2025
488,463,Hyundai Kona Electric,SUV,39.2,2024
489,464,Mahindra XUV400,SUV,39.4,2023
490,465,Tata Punch EV,Hatchback,35.0,2024
491,466,Hyundai Ioniq 5,SUV,72.6,2022
492,467,Hyundai Kona Electric,SUV,39.2,2023
493,468,MG ZS EV,SUV,50.3,2024
494,469,Kia EV6,SUV,77.4,2020
495,470,BYD Atto 3,SUV,60.5,2024
496,471,Tata Punch EV,Hatchback,35.0,2020
497,472,Tata Tiago EV,Hatchback,24.0,2020
498,473,Hyundai Ioniq 5,SUV,72.6,2024
499,474,Hyundai Ioniq 5,SUV,72.6,2021
500,475,Mahindra BE 6,SUV,59.0,2025
501,476,MG ZS EV,SUV,50.3,2024
502,477,Tata Punch EV,Hatchback,35.0,2025
503,478,Hyundai Ioniq 5,SUV,72.6,2020
504,479,Mahindra BE 6,SUV,59.0,2022
505,480,MG ZS EV,SUV,50.3,2022
506,481,Mahindra XUV400,SUV,39.4,2020
507,482,Tata Nexon EV,SUV,30.2,2020
508,483,Tata Nexon EV,SUV,30.2,2021
509,484,Tata Tiago EV,Hatchback,24.0,2020
510,485,Kia EV6,SUV,77.4,2022
511,486,MG ZS EV,SUV,50.3,2023
512,487,Tata Nexon EV,SUV,30.2,2020
513,488,Tata Tiago EV,Hatchback,24.0,2020
514,489,MG ZS EV,SUV,50.3,2024
515,490,MG ZS EV,SUV,50.3,2024
516,491,Mahindra BE 6,SUV,59.0,2025
517,492,Hyundai Kona Electric,SUV,39.2,2023
518,493,MG ZS EV,SUV,50.3,2021
519,494,Mahindra BE 6,SUV,59.0,2023
520,495,Kia EV6,SUV,77.4,2023
521,496,Tata Punch EV,Hatchback,35.0,2023
522,497,Tata Tiago EV,Hatchback,24.0,2024
523,498,Mahindra XUV400,SUV,39.4,2022
524,499,Hyundai Ioniq 5,SUV,72.6,2022
525,500,Kia EV6,SUV,77.4,2020
526,501,Tata Nexon EV,SUV,30.2,2025
527,502,Tata Nexon EV,SUV,30.2,2022
528,503,Kia EV6,SUV,77.4,2020
529,504,Mahindra BE 6,SUV,59.0,2024
530,505,Kia EV6,SUV,77.4,2024
531,506,Tata Tiago EV,Hatchback,24.0,2023
532,507,MG ZS EV,SUV,50.3,2020
533,508,Tata Punch EV,Hatchback,35.0,2024
534,509,Tata Tiago EV,Hatchback,24.0,2022
535,510,Tata Nexon EV,SUV,30.2,2025
536,511,Mahindra XUV400,SUV,39.4,2020
537,512,Mahindra XUV400,SUV,39.4,2022
538,513,Hyundai Ioniq 5,SUV,72.6,2021
539,514,MG ZS EV,SUV,50.3,2020
540,515,Tata Tiago EV,Hatchback,24.0,2021
541,516,Hyundai Kona Electric,SUV,39.2,2024
542,517,Mahindra BE 6,SUV,59.0,2020
543,518,Tata Nexon EV,SUV,30.2,2020
544,519,Tata Tiago EV,Hatchback,24.0,2020
545,520,Hyundai Kona Electric,SUV,39.2,2020
546,521,Kia EV6,SUV,77.4,2021
547,522,Hyundai Kona Electric,SUV,39.2,2025
548,523,Kia EV6,SUV,77.4,2023
549,524,Mahindra BE 6,SUV,59.0,2025
550,525,BYD Atto 3,SUV,60.5,2024
551,526,Mahindra BE 6,SUV,59.0,2020
552,527,MG ZS EV,SUV,50.3,2023
